row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND Số đầu năm
A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,100,,2.435.603.818.887,2.442.030.431.164,100.0,,2435603818887.0,2442030431164.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,4,84.028.754.072,145.899.051.246,110.0,4.0,84028754072.0,145899051246.0
1. Tiền,1. Tiền,1. Tiền,111,,84.028.754.072,73.899.051.246,111.0,,84028754072.0,73899051246.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,-,72.000.000.000,112.0,,,72000000000.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,5,1.717.085.945.589,1.024.941.939.011,120.0,5.0,1717085945589.0,1024941939011.0
1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,123,,1.717.085.945.589,1.024.941.939.011,123.0,,1717085945589.0,1024941939011.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,75.185.317.647,292.294.788.684,130.0,,75185317647.0,292294788684.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,6,50.348.222.312,29.424.558.862,131.0,6.0,50348222312.0,29424558862.0
2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,132,,2.268.545.191,249.627.115.561,132.0,,2268545191.0,249627115561.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,7,22.568.550.144,13.243.114.261,136.0,7.0,22568550144.0,13243114261.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,8,499.723.380.095,900.411.944.856,140.0,8.0,499723380095.0,900411944856.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,506.058.851.671,904.950.295.424,141.0,,506058851671.0,904950295424.0
2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,,(6.335.471.576),(4.538.350.568),149.0,,-6335471576.0,-4538350568.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,59.580.421.484,78.482.707.367,150.0,,59580421484.0,78482707367.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,9,6.258.399.581,632.743.209,151.0,9.0,6258399581.0,632743209.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,53.047.786.670,74.294.166.846,152.0,,53047786670.0,74294166846.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,,274.235.233,3.555.797.312,153.0,,274235233.0,3555797312.0
B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,200,,1.070.038.335.227,936.208.997.659,200.0,,1070038335227.0,936208997659.0
