row_label_raw,row_label_full,col_0,Nhà cửa vật kiến trúc VND,Máy móc thiết bị VND,Phương tiện vận tải VND,Thiết bị quản lý VND,Cộng VND,numeric__Nhà cửa vật kiến trúc VND,numeric__Máy móc thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị quản lý VND,numeric__Cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,14.300.655.357,-,13.529.862.417,651.176.071,28.481.693.845,14300655357.0,,13529862417.0,651176071.0,28481693845.0
Trình bày lại,NGUYÊN GIÁ > Trình bày lại,Trình bày lại,(145.734.288),145.734.288,-,-,-,-145734288.0,145734288.0,,,
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,270.500.000,1.177.203.947,981.604.941,-,2.429.308.888,270500000.0,1177203947.0,981604941.0,,2429308888.0
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,14.425.421.069,1.322.938.235,14.511.467.358,651.176.071,30.911.002.733,14425421069.0,1322938235.0,14511467358.0,651176071.0,30911002733.0
HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,,,,,
Số đầu năm,HAO MÔN LỦY KẾ > Số đầu năm,Số đầu năm,483.382.728,-,5.683.378.978,403.018.630,6.569.780.336,483382728.0,,5683378978.0,403018630.0,6569780336.0
Khấu hao trong năm,HAO MÔN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,431.434.161,93.816.306,1.978.973.664,52.732.468,2.556.956.599,431434161.0,93816306.0,1978973664.0,52732468.0,2556956599.0
Trình bày lại,HAO MÔN LỦY KẾ > Trình bày lại,Trình bày lại,-,-,(56.113.077),56.113.077,-,,,-56113077.0,56113077.0,
Số cuối năm,HAO MÔN LỦY KẾ > Số cuối năm,Số cuối năm,914.816.889,93.816.306,7.606.239.565,511.864.175,9.126.736.935,914816889.0,93816306.0,7606239565.0,511864175.0,9126736935.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Số đầu năm,GIÁ TRỊ CÒN LẠI > Số đầu năm,Số đầu năm,13.817.272.629,-,7.846.483.439,248.157.441,21.911.913.509,13817272629.0,,7846483439.0,248157441.0,21911913509.0
Số cuối năm,GIÁ TRỊ CÒN LẠI > Số cuối năm,Số cuối năm,13.510.604.180,1.229.121.929,6.905.227.793,139.311.896,21.784.265.798,13510604180.0,1229121929.0,6905227793.0,139311896.0,21784265798.0
