row_label_raw,row_label_full,Số cuối năm,Dịch vụ vận tải > VND,Dịch vụ kho nổi > VND,Thương mại > VND,Dịch vụ khác > VND,Tổng > VND,numeric__Dịch vụ vận tải > VND,numeric__Dịch vụ kho nổi > VND,numeric__Thương mại > VND,numeric__Dịch vụ khác > VND,numeric__Tổng > VND
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,10.721.157.334.134,1.199.538.224.801,299.701.202.821,615.413.876.369,12.835.810.638.125,10721157334134.0,1199538224801.0,299701202821.0,615413876369.0,12835810638125.0
Lãi từ công ty liên kết,Lãi từ công ty liên kết,Lãi từ công ty liên kết,,,,,54.646.263.619,,,,,54646263619.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,1.361.196.052.950,,,,,1361196052950.0
Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,,,,,14.251.652.954.694,,,,,14251652954694.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,5.408.540.972.046,313.125.264.306,257.281.890.126,50.161.192.465,6.029.109.318.943,5408540972046.0,313125264306.0,257281890126.0,50161192465.0,6029109318943.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,208.484.861.781,,,,,208484861781.0
Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,,,,,6.237.594.180.724,,,,,6237594180724.0
Số đầu năm,Số đầu năm,Số đầu năm,Dịch vụ vận tải,Dịch vụ kho nổi,Thương mại,Dịch vụ khác,Tổng,,,,,
Số đầu năm,Số đầu năm,Số đầu năm,VND,VND,VND,VND,VND,,,,,
Tài sản bộ phận,Số đầu năm > Tài sản bộ phận,Tài sản bộ phận,8.627.591.132.532,1.475.091.313.672,112.645.659.517,1.407.562.454.669,11.622.890.560.390,8627591132532.0,1475091313672.0,112645659517.0,1407562454669.0,11622890560390.0
Lãi từ công ty liên kết,Số đầu năm > Lãi từ công ty liên kết,Lãi từ công ty liên kết,,,,,50.194.940.426,,,,,50194940426.0
Tài sản không phân bổ,Số đầu năm > Tài sản không phân bổ,Tài sản không phân bổ,,,,,820.134.300.755,,,,,820134300755.0
Tổng tài sản hợp nhất,Số đầu năm > Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,,,,,12.493.219.801.571,,,,,12493219801571.0
Nợ phải trả bộ phận,Số đầu năm > Nợ phải trả bộ phận,Nợ phải trả bộ phận,4.464.057.176.985,199.307.637.858,126.796.787.057,468.995.686.442,5.259.157.288.342,4464057176985.0,199307637858.0,126796787057.0,468995686442.0,5259157288342.0
Nợ phải trả không phân bổ,Số đầu năm > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,270.864.798.051,,,,,270864798051.0
Tổng nợ phải trả hợp nhất,Số đầu năm > Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,,,,,5.530.022.086.393,,,,,5530022086393.0
