row_label_raw,row_label_full,col_0,Mã số,Số đã báo cáo VND,Phân loại lại VND,Số sau phân loại lại VND,numeric__Mã số,numeric__Số đã báo cáo VND,numeric__Phân loại lại VND,numeric__Số sau phân loại lại VND
Bằng cân đối kế toán hợp nhất,Bằng cân đối kế toán hợp nhất,Bằng cân đối kế toán hợp nhất,Bằng cân đối kế toán hợp nhất,Bằng cân đối kế toán hợp nhất,Bằng cân đối kế toán hợp nhất,Bằng cân đối kế toán hợp nhất,,,,
Vốn khác của chủ sở hữu,Bằng cân đối kế toán hợp nhất > Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,414,-,49.040.540.000,49.040.540.000,414.0,,49040540000.0,49040540000.0
Lợi nhuận sau thuế chưa phân phối,Bằng cân đối kế toán hợp nhất > Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,943.632.958.523,(49.040.540.000),894.592.418.523,421.0,943632958523.0,-49040540000.0,894592418523.0
- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,Bằng cân đối kế toán hợp nhất > - Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,283.876.223.955,(49.040.540.000),234.835.683.955,,283876223955.0,-49040540000.0,234835683955.0
