row_label_raw,row_label_full,col_0,Phần mềm,Giấy chứng nhận,Tổng,numeric__Phần mềm,numeric__Giấy chứng nhận,numeric__Tổng
,,,VND,VND,VND,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm và cuối năm,NGUYÊN GIÁ > Số dư đầu năm và cuối năm,Số dư đầu năm và cuối năm,8.301.843.847,176.340.550,8.478.184.397,8301843847.0,176340550.0,8478184397.0
GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LUỸ KẾ > Số dư đầu năm,Số dư đầu năm,(7.411.769.292),(176.340.550),(7.588.109.842),-7411769292.0,-176340550.0,-7588109842.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LUỸ KẾ > Khấu hao trong năm,Khấu hao trong năm,(733.419.602),-,(733.419.602),-733419602.0,,-733419602.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LUỸ KẾ > Số dư cuối năm,Số dư cuối năm,(8.145.188.894),(176.340.550),(8.321.529.444),-8145188894.0,-176340550.0,-8321529444.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,156.654.953,-,156.654.953,156654953.0,,156654953.0
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,890.074.555,-,890.074.555,890074555.0,,890074555.0
