row_label_raw,row_label_full,col_0,Chi phí sửa chữa lớntài sản cố địnhVND,Dự phòng khácVND,Tổng cộngVND,numeric__Chi phí sửa chữa lớntài sản cố địnhVND,numeric__Dự phòng khácVND,numeric__Tổng cộngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,246.105.020.297,32.126.681.899,278.231.702.196,246105020297.0,32126681899.0,278231702196.0
Trích lập trong năm,Trích lập trong năm,Trích lập trong năm,210.024.239.593,27.240.397.895,237.264.637.488,210024239593.0,27240397895.0,237264637488.0
Hoàn nhập trong năm,Hoàn nhập trong năm,Hoàn nhập trong năm,(37.581.807.254),(33.543.554.083),(71.125.361.337),-37581807254.0,-33543554083.0,-71125361337.0
Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,(113.883.106.653),-,(113.883.106.653),-113883106653.0,,-113883106653.0
Phân loại lại,Phân loại lại,Phân loại lại,-,(2.583.127.809),(2.583.127.809),,-2583127809.0,-2583127809.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,304.664.345.983,23.240.397.902,327.904.743.885,304664345983.0,23240397902.0,327904743885.0
