row_label_raw,row_label_full,col_0,Số đầu nămVND,Số phải thu trong nămVND,Số đã thực thu trong nămVND,Số cuối nămVND,numeric__Số đầu nămVND,numeric__Số phải thu trong nămVND,numeric__Số đã thực thu trong nămVND,numeric__Số cuối nămVND
a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,,,,
Thuế giá trị gia tăng,a) Các khoản phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,18.995.773,-,-,18.995.773,18995773.0,,,18995773.0
Thuế thu nhập doanh nghiệp,a) Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,3.647.628.300,-,3.647.628.300,-,3647628300.0,,3647628300.0,
Thuế thu nhập cá nhân,a) Các khoản phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,25.925.569,-,25.925.569,-,25925569.0,,25925569.0,
Các loại thuế khác,a) Các khoản phải thu > Các loại thuế khác,Các loại thuế khác,1.954.842,383.427.946,1.954.842,383.427.946,1954842.0,383427946.0,1954842.0,383427946.0
,,,3.694.504.484,383.427.946,3.675.508.711,402.423.719,3694504484.0,383427946.0,3675508711.0,402423719.0
,,,Số đầu nămVND,Số phải nộp trong nămVND,Số đã thực nộp trong nămVND,Số cuối nămVND,,,,
b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,,,,
Thuế giá trị gia tăng,b) Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,3.570.617.130,178.018.053.095,170.991.850.856,10.596.819.369,3570617130.0,178018053095.0,170991850856.0,10596819369.0
"Thuế xuất, nhập khẩu","b) Các khoản phải trả > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",12.213.349,3.587.266.495,3.599.479.844,-,12213349.0,3587266495.0,3599479844.0,
Thuế thu nhập doanh nghiệp,b) Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,52.828.727.967,288.761.717.516,261.166.864.673,80.423.580.810,52828727967.0,288761717516.0,261166864673.0,80423580810.0
Thuế thu nhập cá nhân,b) Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,5.041.780.914,39.288.925.400,38.527.325.370,5.803.380.944,5041780914.0,39288925400.0,38527325370.0,5803380944.0
Thuế nhà thầu,b) Các khoản phải trả > Thuế nhà thầu,Thuế nhà thầu,-,5.545.039.434,5.543.611.326,1.428.108,,5545039434.0,5543611326.0,1428108.0
Thuế môn bài,b) Các khoản phải trả > Thuế môn bài,Thuế môn bài,-,29.000.000,29.000.000,-,,29000000.0,29000000.0,
Các loại thuế khác,b) Các khoản phải trả > Các loại thuế khác,Các loại thuế khác,47.222.628,5.527.143.695,5.526.746.316,47.620.007,47222628.0,5527143695.0,5526746316.0,47620007.0
,,,61.500.561.988,520.757.145.635,485.384.878.385,96.872.829.238,61500561988.0,520757145635.0,485384878385.0,96872829238.0
