row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Vốn khác của chủ sở hữu,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng,numeric__Vốn góp của chủ sở hữu,numeric__Vốn khác của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.236.512.460.000,-,726.264.850.938,47.218.399.245,897.900.556.915,1.414.503.866.198,6.322.400.133.296,3236512460000.0,,726264850938.0,47218399245.0,897900556915.0,1414503866198.0,6322400133296.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,-,-,-,-,-,238.921.780.000,238.921.780.000,,,,,,238921780000.0,238921780000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,659.756.734.568,174.758.005.460,834.514.740.028,,,,,659756734568.0,174758005460.0,834514740028.0
Cổ tức công bố,Cổ tức công bố,Cổ tức công bố,-,-,-,-,(323.651.246.000),(50.497.408.000),(374.148.654.000),,,,,-323651246000.0,-50497408000.0,-374148654000.0
Phân phối quỹ,Phân phối quỹ,Phân phối quỹ,-,-,241.237.163.151,-,(241.433.193.162),(192.525.276),(388.555.287),,,241237163151.0,,-241433193162.0,-192525276.0,-388555287.0
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,-,(35.006.120.444),(6.845.223.556),(41.851.344.000),,,,,-35006120444.0,-6845223556.0,-41851344000.0
"Thù lao Ban Tổng Giám đốc, Hội đồng Quản trị","Thù lao Ban Tổng Giám đốc, Hội đồng Quản trị","Thù lao Ban Tổng Giám đốc, Hội đồng Quản trị",-,-,-,-,(8.200.414.982),(2.206.596.896),(10.407.011.878),,,,,-8200414982.0,-2206596896.0,-10407011878.0
Công ty con chia cổ tức bằng cổ phiếu,Công ty con chia cổ tức bằng cổ phiếu,Công ty con chia cổ tức bằng cổ phiếu,-,49.040.540.000,-,-,(49.040.540.000),-,-,,49040540000.0,,,-49040540000.0,,
Điều chính khác,Điều chính khác,Điều chính khác,-,-,-,-,(5.733.358.372),(110.014.609),(5.843.372.981),,,,,-5733358372.0,-110014609.0,-5843372981.0
Số dư đầu năm nay (phân loại lại),Số dư đầu năm nay (phân loại lại),Số dư đầu năm nay (phân loại lại),3.236.512.460.000,49.040.540.000,967.502.014.089,47.218.399.245,894.592.418.523,1.768.331.883.321,6.963.197.715.178,3236512460000.0,49040540000.0,967502014089.0,47218399245.0,894592418523.0,1768331883321.0,6963197715178.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,857.338.779.296,298.508.304.446,1.155.847.083.742,,,,,857338779296.0,298508304446.0,1155847083742.0
Cổ tức công bố,Cổ tức công bố,Cổ tức công bố,-,-,-,-,-,(42.838.277.170),(42.838.277.170),,,,,,-42838277170.0,-42838277170.0
Phân phối quỹ,Phân phối quỹ,Phân phối quỹ,-,-,161.112.032.862,-,(161.112.032.862),-,-,,,161112032862.0,,-161112032862.0,,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,-,(37.158.203.343),(7.761.931.040),(44.920.134.383),,,,,-37158203343.0,-7761931040.0,-44920134383.0
"Thù lao Ban Tổng Giám Đốc, Hội đồng Quản trị","Thù lao Ban Tổng Giám Đốc, Hội đồng Quản trị","Thù lao Ban Tổng Giám Đốc, Hội đồng Quản trị",-,-,-,-,(7.015.707.213),(1.141.732.797),(8.157.440.010),,,,,-7015707213.0,-1141732797.0,-8157440010.0
Công ty con chia cổ tức bằng cổ phiếu,Công ty con chia cổ tức bằng cổ phiếu,Công ty con chia cổ tức bằng cổ phiếu,-,50.966.670.000,-,-,(50.966.670.000),-,-,,50966670000.0,,,-50966670000.0,,
Điều chính khác,Điều chính khác,Điều chính khác,-,,539.620.961,4.161.965,(6.272.429.557),(3.341.526.756),(9.070.173.387),,,539620961.0,4161965.0,-6272429557.0,-3341526756.0,-9070173387.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.236.512.460.000,100.007.210.000,1.129.153.667.912,47.222.561.210,1.489.406.154.844,2.011.756.720.004,8.014.058.773.970,3236512460000.0,100007210000.0,1129153667912.0,47222561210.0,1489406154844.0,2011756720004.0,8014058773970.0
