row_label_raw,row_label_full,col_0,Giá trị ghi số > Số cuối năm VND,Giá trị ghi số > Số đầu năm VND,numeric__Giá trị ghi số > Số cuối năm VND,numeric__Giá trị ghi số > Số đầu năm VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.793.749.749.410,1.283.386.854.560,1793749749410.0,1283386854560.0
Đầu tư tài chính,Tài sản tài chính > Đầu tư tài chính,Đầu tư tài chính,2.752.569.001.250,1.835.445.712.505,2752569001250.0,1835445712505.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.457.095.969.193,1.555.543.459.930,1457095969193.0,1555543459930.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,6.003.414.719.853,4.674.376.026.995,6003414719853.0,4674376026995.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,3.690.772.139.478,3.246.466.091.024,3690772139478.0,3246466091024.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.462.782.276.082,1.349.730.636.294,1462782276082.0,1349730636294.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,229.891.449.879,177.418.356.405,229891449879.0,177418356405.0
Tổng cộng,Công nợ tài chính > Tổng cộng,Tổng cộng,5.383.445.865.439,4.773.615.083.723,5383445865439.0,4773615083723.0
