row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc VND","Máy móc, thiết bị VND",Phương tiện vận tải VND,Thiết bị văn phòng VND,Tổng VND,"numeric__Nhà cửa, vật kiến trúc VND","numeric__Máy móc, thiết bị VND",numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,6.833.645.056,24.235.514.443,12.253.792.008.545,18.622.310.798,12.303.483.478.842,6833645056.0,24235514443.0,12253792008545.0,18622310798.0,12303483478842.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,1.466.565.113,1.637.818.478.249,4.330.541.462,1.643.615.584.824,,1466565113.0,1637818478249.0,4330541462.0,1643615584824.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(36.666.667),(1.664.447.995.771),(37.605.000),(1.664.522.267.438),,-36666667.0,-1664447995771.0,-37605000.0,-1664522267438.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,-,32.207.256.828,(32.207.256.828),-,-,,32207256828.0,-32207256828.0,,
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,6.833.645.056,57.872.669.717,12.194.955.234.195,22.915.247.260,12.282.576.796.228,6833645056.0,57872669717.0,12194955234195.0,22915247260.0,12282576796228.0
GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LUỸ KẾ > Số dư đầu năm,Số dư đầu năm,(1.050.161.784),(8.972.292.565),(5.300.860.156.179),(17.863.842.128),(5.328.746.452.656),-1050161784.0,-8972292565.0,-5300860156179.0,-17863842128.0,-5328746452656.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÒN LUỸ KẾ > Khẩu hao trong năm,Khẩu hao trong năm,(300.046.224),(2.900.065.410),(1.189.776.285.005),(1.612.374.171),(1.194.588.770.810),-300046224.0,-2900065410.0,-1189776285005.0,-1612374171.0,-1194588770810.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LUỸ KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,36.666.667,1.500.822.069.159,37.605.000,1.500.896.340.826,,36666667.0,1500822069159.0,37605000.0,1500896340826.0
Phân loại lại,GIÁ TRỊ HAO MÒN LUỸ KẾ > Phân loại lại,Phân loại lại,-,(2.130.797.118),2.130.797.118,-,-,,-2130797118.0,2130797118.0,,
Số dư cuối năm,GIÁ TRỊ HAO MÒN LUỸ KẾ > Số dư cuối năm,Số dư cuối năm,(1.350.208.008),(13.966.488.426),(4.987.683.574.907),(19.438.611.299),(5.022.438.882.640),-1350208008.0,-13966488426.0,-4987683574907.0,-19438611299.0,-5022438882640.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,5.483.437.048,43.906.181.291,7.207.271.659.288,3.476.635.961,7.260.137.913.588,5483437048.0,43906181291.0,7207271659288.0,3476635961.0,7260137913588.0
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,5.783.483.272,15.263.221.878,6.952.931.852.366,758.468.670,6.974.737.026.186,5783483272.0,15263221878.0,6952931852366.0,758468670.0,6974737026186.0
