row_label_raw,row_label_full,col_0,Dưới 1 năm,Từ 1 đến 5 năm,Trên 5 năm,Tổng,numeric__Dưới 1 năm,numeric__Từ 1 đến 5 năm,numeric__Trên 5 năm,numeric__Tổng
,,,VND,VND,VND,VND,,,,
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,,
Tiền và các khoản tương đương tiền,Số cuối năm > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.793.749.749.410,-,-,1.793.749.749.410,1793749749410.0,,,1793749749410.0
Đầu tư tài chính,Số cuối năm > Đầu tư tài chính,Đầu tư tài chính,2.706.631.233.950,-,45.937.767.300,2.752.569.001.250,2706631233950.0,,45937767300.0,2752569001250.0
Phải thu khách hàng và phải thu khác,Số cuối năm > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.321.907.817.389,135.188.151.804,-,1.457.095.969.193,1321907817389.0,135188151804.0,,1457095969193.0
,,,5.822.288.800.749,135.188.151.804,45.937.767.300,6.003.414.719.853,5822288800749.0,135188151804.0,45937767300.0,6003414719853.0
Các khoản vay,Số cuối năm > Các khoản vay,Các khoản vay,1.099.431.218.656,2.261.185.653.160,330.155.267.662,3.690.772.139.478,1099431218656.0,2261185653160.0,330155267662.0,3690772139478.0
Phải trả người bán và phải trả khác,Số cuối năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.043.373.442.482,63.673.140.800,355.735.692.800,1.462.782.276.082,1043373442482.0,63673140800.0,355735692800.0,1462782276082.0
Chi phí phải trả,Số cuối năm > Chi phí phải trả,Chi phí phải trả,229.891.449.879,-,-,229.891.449.879,229891449879.0,,,229891449879.0
,,,2.372.696.111.017,2.324.858.793.960,685.890.960.462,5.383.445.865.439,2372696111017.0,2324858793960.0,685890960462.0,5383445865439.0
Chênh lệch thanh khoản thuần,Số cuối năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,3.449.592.689.732,(2.189.670.642.156),(639.953.193.162),619.968.854.414,3449592689732.0,-2189670642156.0,-639953193162.0,619968854414.0
,,,Dưới 1 năm,Từ 1 đến 5 năm,Trên 5 năm,Tổng,,,,
,,,VND,VND,VND,VND,,,,
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,
Tiền và các khoản tương đương tiền,Số đầu năm > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.283.386.854.560,-,-,1.283.386.854.560,1283386854560.0,,,1283386854560.0
Đầu tư tài chính,Số đầu năm > Đầu tư tài chính,Đầu tư tài chính,1.789.507.945.205,-,45.937.767.300,1.835.445.712.505,1789507945205.0,,45937767300.0,1835445712505.0
Phải thu khách hàng và phải thu khác,Số đầu năm > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.445.732.726.492,109.810.733.438,-,1.555.543.459.930,1445732726492.0,109810733438.0,,1555543459930.0
,,,4.518.627.526.257,109.810.733.438,45.937.767.300,4.674.376.026.995,4518627526257.0,109810733438.0,45937767300.0,4674376026995.0
Các khoản vay,Số đầu năm > Các khoản vay,Các khoản vay,778.354.285.393,1.997.943.168.980,470.168.636.651,3.246.466.091.024,778354285393.0,1997943168980.0,470168636651.0,3246466091024.0
Phải trả người bán và phải trả khác,Số đầu năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,810.836.959.454,183.157.984.040,355.735.692.800,1.349.730.636.294,810836959454.0,183157984040.0,355735692800.0,1349730636294.0
Chi phí phải trả,Số đầu năm > Chi phí phải trả,Chi phí phải trả,177.418.356.405,-,-,177.418.356.405,177418356405.0,,,177418356405.0
,,,1.766.609.601.252,2.181.101.153.020,825.904.329.451,4.773.615.083.723,1766609601252.0,2181101153020.0,825904329451.0,4773615083723.0
Chênh lệch thanh khoản thuần,Số đầu năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,2.752.017.925.005,(2.071.290.419.582),(779.966.562.151),(99.239.056.728),2752017925005.0,-2071290419582.0,-779966562151.0,-99239056728.0
