row_label_raw,row_label_full,col_0,Năm nay > Số năm,Năm trước > Số năm,numeric__Năm nay > Số năm,numeric__Năm trước > Số năm
"Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc",10,10,10.0,10.0
"Máy móc, thiết bị","Máy móc, thiết bị","Máy móc, thiết bị",3 - 8,3 - 8,,
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,5 - 20,5 - 25,,
Thiết bị văn phòng,Thiết bị văn phòng,Thiết bị văn phòng,2 - 7,2 - 7,,
