row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm (phân loại lại),numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (phân loại lại)
C.,C.,C.,NỘ PHẢI TRẢ,300,,6.237.594.180.724,5.530.022.086.393,,300.0,,6237594180724.0,5530022086393.0
I.,I.,I.,Nợ ngắn hạn,310,,3.055.301.138.729,2.449.919.250.097,,310.0,,3055301138729.0,2449919250097.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,16,812.143.687.203,676.929.311.844,,311.0,16.0,812143687203.0,676929311844.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,,25.108.997.860,27.582.652.349,,312.0,,25108997860.0,27582652349.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,17,96.872.829.238,61.500.561.988,,313.0,17.0,96872829238.0,61500561988.0
4.,4.,4.,Phải trả người lao động,314,,253.470.831.952,238.876.431.333,,314.0,,253470831952.0,238876431333.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,18,229.891.449.879,177.418.356.405,,315.0,18.0,229891449879.0,177418356405.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,,23.711.207.002,18.596.984.788,,318.0,,23711207002.0,18596984788.0
7.,7.,7.,Phải trả ngắn hạn khác,319,19,234.247.457.518,139.133.687.936,,319.0,19.0,234247457518.0,139133687936.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,20,1.099.431.218.656,778.354.285.393,,320.0,20.0,1099431218656.0,778354285393.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,21,156.361.456.312,205.134.348.371,,321.0,21.0,156361456312.0,205134348371.0
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,,124.062.003.109,126.392.629.690,,322.0,,124062003109.0,126392629690.0
II.,II.,II.,Nợ dài hạn,330,,3.182.293.041.995,3.080.102.836.296,,330.0,,3182293041995.0,3080102836296.0
1.,1.,1.,Phải trả dài hạn khác,337,19,419.408.833.600,538.893.676.840,,337.0,19.0,419408833600.0,538893676840.0
2.,2.,2.,Vay và nợ thuê tài chính dài hạn,338,22,2.591.340.920.822,2.468.111.805.631,,338.0,22.0,2591340920822.0,2468111805631.0
3.,3.,3.,Dự phòng phải trả dài hạn,342,21,171.543.287.573,73.097.353.825,,342.0,21.0,171543287573.0,73097353825.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,8.014.058.773.970,6.963.197.715.178,,400.0,,8014058773970.0,6963197715178.0
I.,I.,I.,Vốn chủ sở hữu,410,23,8.014.058.773.970,6.963.197.715.178,,410.0,23.0,8014058773970.0,6963197715178.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,3.236.512.460.000,3.236.512.460.000,,411.0,,3236512460000.0,3236512460000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,3.236.512.460.000,3.236.512.460.000,,,,3236512460000.0,3236512460000.0
2.,2.,2.,Vốn khác của chủ sở hữu,414,,100.007.210.000,49.040.540.000,,414.0,,100007210000.0,49040540000.0
3.,3.,3.,Quỹ đầu tư phát triển,418,,1.129.153.667.912,967.502.014.089,,418.0,,1129153667912.0,967502014089.0
4.,4.,4.,Quỹ khác thuộc vốn chủ sở hữu,420,,47.222.561.210,47.218.399.245,,420.0,,47222561210.0,47218399245.0
5.,5.,5.,Lợi nhuận sau thuế chưa phân phối,421,,1.489.406.154.844,894.592.418.523,,421.0,,1489406154844.0,894592418523.0
,,,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,632.067.375.548,234.835.683.955,,,,632067375548.0,234835683955.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,857.338.779.296,659.756.734.568,,,,857338779296.0,659756734568.0
6.,6.,6.,Lợi ích cổ đông không kiểm soát,429,,2.011.756.720.004,1.768.331.883.321,,429.0,,2011756720004.0,1768331883321.0
,,,TỔNG CÔNG NGUỒN VỐN (440=300+400),440,,14.251.652.954.694,12.493.219.801.571,,440.0,,14251652954694.0,12493219801571.0
