row_label_raw,row_label_full,col_0,Dịch vụ vận tải,Dịch vụ kho nổi,Thương mại,Dịch vụ khác,Tổng,numeric__Dịch vụ vận tải,numeric__Dịch vụ kho nổi,numeric__Thương mại,numeric__Dịch vụ khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,,,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,5.350.401.235.913,827.336.723.943,960.561.848.045,321.934.318.364,7.460.234.126.265,5350401235913.0,827336723943.0,960561848045.0,321934318364.0,7460234126265.0
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,5.350.401.235.913,827.336.723.943,960.561.848.045,321.934.318.364,7.460.234.126.265,5350401235913.0,827336723943.0,960561848045.0,321934318364.0,7460234126265.0
Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,,,,,
Giá vốn từ bán hàng ra bên ngoài,Giá vốn > Giá vốn từ bán hàng ra bên ngoài,Giá vốn từ bán hàng ra bên ngoài,4.426.451.444.855,594.321.749.454,946.807.731.725,254.696.571.193,6.222.277.497.227,4426451444855.0,594321749454.0,946807731725.0,254696571193.0,6222277497227.0
Tổng giá vốn,Giá vốn > Tổng giá vốn,Tổng giá vốn,4.426.451.444.855,594.321.749.454,946.807.731.725,254.696.571.193,6.222.277.497.227,4426451444855.0,594321749454.0,946807731725.0,254696571193.0,6222277497227.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,923.949.791.058,233.014.974.489,13.754.116.320,67.237.747.171,1.237.956.629.038,923949791058.0,233014974489.0,13754116320.0,67237747171.0,1237956629038.0
Chi phí không phân bổ,Kết quả hoạt động kinh doanh > Chi phí không phân bổ,Chi phí không phân bổ,,,,,(287.978.973.444),,,,,-287978973444.0
Lợi nhuận từ hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,949.977.655.594,,,,,949977655594.0
Doanh thu hoạt động tài chính,Kết quả hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,180.227.299.307,,,,,180227299307.0
Phần lãi trong công ty liên kết,Kết quả hoạt động kinh doanh > Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,,,,,24.549.751.684,,,,,24549751684.0
Lợi nhuận khác,Kết quả hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,,41.945.558.874,,,,,41945558874.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,(156.483.569.802),,,,,-156483569802.0
Lợi nhuận trước thuế,Kết quả hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,1.040.216.695.657,,,,,1040216695657.0
Chi phí thuế thu nhập doanh nghiệp,Kết quả hoạt động kinh doanh > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,(199.465.028.044),,,,,-199465028044.0
Thuế thu nhập doanh nghiệp hoãn lại,Kết quả hoạt động kinh doanh > Thuế thu nhập doanh nghiệp hoãn lại,Thuế thu nhập doanh nghiệp hoãn lại,,,,,(6.236.927.585),,,,,-6236927585.0
Lợi nhuận trong năm,Kết quả hoạt động kinh doanh > Lợi nhuận trong năm,Lợi nhuận trong năm,,,,,834.514.740.028,,,,,834514740028.0
Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,,,,,
Khấu hao,Thông tin khác > Khấu hao,Khấu hao,,,,,929.745.576.847,,,,,929745576847.0
