row_label_raw,row_label_full,Ông Nguyễn Văn Sang,Chủ tịch,numeric__Chủ tịch
Bà Nguyễn Thị Minh Nguyệt,Bà Nguyễn Thị Minh Nguyệt,Bà Nguyễn Thị Minh Nguyệt,Phó chủ tịch,
Ông Kiều Hữu Dũng,Ông Kiều Hữu Dũng,Ông Kiều Hữu Dũng,Phó chủ tịch (Bổ nhiệm ngày 27/04/2018),
Ông Hứa Xuân Sinh,Ông Hứa Xuân Sinh,Ông Hứa Xuân Sinh,Thành viên,
Ông Phan Minh Sáng,Ông Phan Minh Sáng,Ông Phan Minh Sáng,Thành viên,
Ông Đỗ Văn Khá,Ông Đỗ Văn Khá,Ông Đỗ Văn Khá,Thành viên độc lập (Bổ nhiệm ngày 27/04/2018),
Ông Bùi Tuấn,Ông Bùi Tuấn,Ông Bùi Tuấn,Thành viên độc lập (Bổ nhiệm ngày 27/04/2018),
Bà Bùi Thanh Hương,Bà Bùi Thanh Hương,Bà Bùi Thanh Hương,Thành viên (Miễn nhiệm ngày 27/04/2018),
Ông Phạm Công Sinh,Ông Phạm Công Sinh,Ông Phạm Công Sinh,Thành viên (Miễn nhiệm ngày 27/04/2018),
Bà Tưởng Thị Thu Hạnh,Bà Tưởng Thị Thu Hạnh,Bà Tưởng Thị Thu Hạnh,Thành viên (Miễn nhiệm ngày 27/04/2018),
