row_label_raw,row_label_full,col_0,Mối quan hệ,Số cuối năm VND,Số đầu năm VND,numeric__Mối quan hệ,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Công ty Cổ Phần FIT COSMETICS,Công ty Cổ Phần FIT COSMETICS,Công ty Cổ Phần FIT COSMETICS,Công ty liên kết,61.177.192.637,78.649.801.244,,61177192637.0,78649801244.0
Phải thu của bên liên quan,Phải thu của bên liên quan,Phải thu của bên liên quan,,2.414.297.240,1.002.960.620,,2414297240.0,1002960620.0
Phải trả bên liên quan,Phải trả bên liên quan,Phải trả bên liên quan,,18.203.264.528,41.447.340.689,,18203264528.0,41447340689.0
Phải thu lãi hợp đồng hợp tác đầu tư,Phải thu lãi hợp đồng hợp tác đầu tư,Phải thu lãi hợp đồng hợp tác đầu tư,,6.272.998.519,1.647.867.585,,6272998519.0,1647867585.0
Hợp tác đầu tư với bên liên quan,Hợp tác đầu tư với bên liên quan,Hợp tác đầu tư với bên liên quan,,34.286.632.350,32.551.632.350,,34286632350.0,32551632350.0
Cho vay,Cho vay,Cho vay,,-,2.000.000.000,,,2000000000.0
Công ty Cổ phần nước khoáng Khánh Hồ: Công ty liên kết,Công ty Cổ phần nước khoáng Khánh Hồ: Công ty liên kết,Công ty Cổ phần nước khoáng Khánh Hồ: Công ty liên kết,Công ty Cổ phần nước khoáng Khánh Hồ: Công ty liên kết,60.445.318.687,52.124.535.961,,60445318687.0,52124535961.0
Phải thu của bên liên quan,Phải thu của bên liên quan,Phải thu của bên liên quan,,1.102.500.000,-,,1102500000.0,
Phải trả bên liên quan,Phải trả bên liên quan,Phải trả bên liên quan,,54.379.973.572,47.161.690.846,,54379973572.0,47161690846.0
"Nhận ký quý, ký cược","Nhận ký quý, ký cược","Nhận ký quý, ký cược",,4.962.845.115,4.962.845.115,,4962845115.0,4962845115.0
Công ty Cổ phần Phát triển Bất động sản DPV,Công ty Cổ phần Phát triển Bất động sản DPV,Công ty Cổ phần Phát triển Bất động sản DPV,Bên liên quan,10.000.000.000,10.000.000.000,,10000000000.0,10000000000.0
Nhận hợp tác đầu tư từ bên liên quan,Nhận hợp tác đầu tư từ bên liên quan,Nhận hợp tác đầu tư từ bên liên quan,,10.000.000.000,10.000.000.000,,10000000000.0,10000000000.0
Công ty Cổ phần đầu tư Dũng Tấm,Công ty Cổ phần đầu tư Dũng Tấm,Công ty Cổ phần đầu tư Dũng Tấm,Bên liên quan,11.974.500.000,31.231.179.676,,11974500000.0,31231179676.0
Phải trả cho hoạt động tài chính,Phải trả cho hoạt động tài chính,Phải trả cho hoạt động tài chính,,11.974.500.000,10.970.750.000,,11974500000.0,10970750000.0
Phải thu về cho thuê văn phòng,Phải thu về cho thuê văn phòng,Phải thu về cho thuê văn phòng,,-,123.279.510,,,123279510.0
,,,Mối quan hệ,,Số cuối năm VND,,,
Công ty Cổ phần Today Cosmetics,Công ty Cổ phần Today Cosmetics,Công ty Cổ phần Today Cosmetics,Bên liên quan,,10.068.575.083,,,10068575083.0
Phải trả bên liên quan,Phải trả bên liên quan,Phải trả bên liên quan,,,652.272.861,,,652272861.0
Phải thu lãi hợp đồng hợp tác đầu tư,Phải thu lãi hợp đồng hợp tác đầu tư,Phải thu lãi hợp đồng hợp tác đầu tư,,,216.302.222,,,216302222.0
Hợp tác đầu tư với bên liên quan,Hợp tác đầu tư với bên liên quan,Hợp tác đầu tư với bên liên quan,,,9.200.000.000,,,9200000000.0
