row_label_raw,row_label_full,Tại ngày đầu năm (Trình bày lại),Miền BắcSố đầu năm > VND,Miền NamSố đầu năm > VND,Loại trừSố đầu năm > VND,Tổng cộngSố đầu năm > VND,numeric__Miền BắcSố đầu năm > VND,numeric__Miền NamSố đầu năm > VND,numeric__Loại trừSố đầu năm > VND,numeric__Tổng cộngSố đầu năm > VND
Tài sản,Tài sản,Tài sản,,,,,,,,
Tài sản bộ phận,Tài sản > Tài sản bộ phận,Tài sản bộ phận,3.335.422.634.533,3.278.419.951.991,(1.714.353.790.500),4.899.488.796.024,3335422634533.0,3278419951991.0,-1714353790500.0,4899488796024.0
Tổng tài sản hợp nhất,Tài sản > Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,,,,4.899.488.796.024,,,,4899488796024.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Nợ phải trả bộ phận,Nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,282.993.749.759,629.234.436.410,(10.616.919.769),901.611.266.400,282993749759.0,629234436410.0,-10616919769.0,901611266400.0
Tổng nợ phải trả hợp nhất,Nợ phải trả > Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,,,,901.611.266.400,,,,901611266400.0
Kỳ trước,Kỳ trước,Kỳ trước,Miền BắcVND,Miền NamVND,Loại trừVND,Tổng cộngVND,,,,
Doanh thu,Doanh thu,Doanh thu,,,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,35.242.686.232,1.590.118.300.053,-,1.625.360.986.285,35242686232.0,1590118300053.0,,1625360986285.0
Doanh thu thuần từ bán hàng cho các bộ phận khác,Doanh thu > Doanh thu thuần từ bán hàng cho các bộ phận khác,Doanh thu thuần từ bán hàng cho các bộ phận khác,12.752.330.406,-,(12.752.330.406),-,12752330406.0,,-12752330406.0,
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,47.995.016.638,1.590.118.300.053,(12.752.330.406),1.625.360.986.285,47995016638.0,1590118300053.0,-12752330406.0,1625360986285.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,,,
Giá vốn (trình bày lại),Kết quả hoạt động kinh doanh > Giá vốn (trình bày lại),Giá vốn (trình bày lại),33.705.186.112,1.221.964.644.222,(3.476.868.222),1.252.192.962.112,33705186112.0,1221964644222.0,-3476868222.0,1252192962112.0
Lãi gộp,Kết quả hoạt động kinh doanh > Lãi gộp,Lãi gộp,14.289.830.526,368.153.655.831,(9.275.462.184),373.168.024.173,14289830526.0,368153655831.0,-9275462184.0,373168024173.0
Lãi (lỗ) từ công ty liên doanh liên kết,Kết quả hoạt động kinh doanh > Lãi (lỗ) từ công ty liên doanh liên kết,Lãi (lỗ) từ công ty liên doanh liên kết,-,(10.335.967.979),-,(10.335.967.979),,-10335967979.0,,-10335967979.0
Chi phí bán hàng và chi phí quản lý (trình bày lại),Kết quả hoạt động kinh doanh > Chi phí bán hàng và chi phí quản lý (trình bày lại),Chi phí bán hàng và chi phí quản lý (trình bày lại),45.389.687.828,297.853.294.438,(6.506.630.184),336.736.352.082,45389687828.0,297853294438.0,-6506630184.0,336736352082.0
Lãi (lỗ) khác,Kết quả hoạt động kinh doanh > Lãi (lỗ) khác,Lãi (lỗ) khác,102.352.211,8.491.120.219,-,8.593.472.430,102352211.0,8491120219.0,,8593472430.0
Doanh thu tài chính,Kết quả hoạt động kinh doanh > Doanh thu tài chính,Doanh thu tài chính,149.137.150.408,31.420.003.819,(15.865.286.488),164.691.867.739,149137150408.0,31420003819.0,-15865286488.0,164691867739.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,10.167.605.941,25.669.908.737,(865.286.488),34.972.228.190,10167605941.0,25669908737.0,-865286488.0,34972228190.0
Thu nhập từ hoạt động tài chính,Kết quả hoạt động kinh doanh > Thu nhập từ hoạt động tài chính,Thu nhập từ hoạt động tài chính,138.969.544.467,5.750.095.082,(15.000.000.000),129.719.639.549,138969544467.0,5750095082.0,-15000000000.0,129719639549.0
Lợi nhuận trước thuế,Kết quả hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,107.972.039.376,74.205.608.715,(17.768.832.000),164.408.816.091,107972039376.0,74205608715.0,-17768832000.0,164408816091.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Kết quả hoạt động kinh doanh > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,22.407.406.526,26.996.103.992,-,49.403.510.518,22407406526.0,26996103992.0,,49403510518.0
Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Kết quả hoạt động kinh doanh > Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,-,2.422.673.292,-,2.422.673.292,,2422673292.0,,2422673292.0
Lợi nhuận trong năm,Kết quả hoạt động kinh doanh > Lợi nhuận trong năm,Lợi nhuận trong năm,85.564.632.850,44.786.831.431,(17.768.832.000),112.582.632.281,85564632850.0,44786831431.0,-17768832000.0,112582632281.0
