row_label_raw,row_label_full,col_0,Năm nay,Năm trước(Trình bày lại),numeric__Năm nay,numeric__Năm trước(Trình bày lại)
,,,VND,VND,,
a) Các khoản chi phí bán hàng phát sinh trong kỳ,a) Các khoản chi phí bán hàng phát sinh trong kỳ,a) Các khoản chi phí bán hàng phát sinh trong kỳ,a) Các khoản chi phí bán hàng phát sinh trong kỳ,a) Các khoản chi phí bán hàng phát sinh trong kỳ,,
Chi phí nhân viên,a) Các khoản chi phí bán hàng phát sinh trong kỳ > Chi phí nhân viên,Chi phí nhân viên,52.722.233.021,64.265.764.510,52722233021.0,64265764510.0
"Chi phí đồ dùng văn phòng, vật liệu bao bi","a) Các khoản chi phí bán hàng phát sinh trong kỳ > Chi phí đồ dùng văn phòng, vật liệu bao bi","Chi phí đồ dùng văn phòng, vật liệu bao bi",188.115.953,137.189.159,188115953.0,137189159.0
Chi phí khấu hao TSCĐ,a) Các khoản chi phí bán hàng phát sinh trong kỳ > Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,1.680.238.185,2.034.433.999,1680238185.0,2034433999.0
Chi phí dịch vụ mua ngoài,a) Các khoản chi phí bán hàng phát sinh trong kỳ > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,136.882.900.114,85.554.886.685,136882900114.0,85554886685.0
Chi phí bằng tiền khác,a) Các khoản chi phí bán hàng phát sinh trong kỳ > Chi phí bằng tiền khác,Chi phí bằng tiền khác,36.466.119.249,47.276.470.884,36466119249.0,47276470884.0
Cộng,a) Các khoản chi phí bán hàng phát sinh trong kỳ > Cộng,Cộng,227.939.606.522,199.268.745.237,227939606522.0,199268745237.0
b) Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ,b) Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ,b) Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ,b) Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ,b) Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ,,
Chi phí nhân viên quản lý,b) Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ > Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,54.392.135.145,64.283.464.900,54392135145.0,64283464900.0
"Chi phí đồ dùng văn phòng, vật liệu bao bi","b) Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ > Chi phí đồ dùng văn phòng, vật liệu bao bi","Chi phí đồ dùng văn phòng, vật liệu bao bi",1.535.836.722,1.934.545.200,1535836722.0,1934545200.0
Chi phí khấu hao,b) Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ > Chi phí khấu hao,Chi phí khấu hao,5.014.325.934,3.913.684.314,5014325934.0,3913684314.0
"Thuế, phí và lệ phí","b) Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ > Thuế, phí và lệ phí","Thuế, phí và lệ phí",558.008.112,839.788.017,558008112.0,839788017.0
Chi phí dự phòng,b) Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ > Chi phí dự phòng,Chi phí dự phòng,13.502.388.576,1.561.085.144,13502388576.0,1561085144.0
Chi phí dịch vụ mua ngoài,b) Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,24.868.402.798,28.448.627.929,24868402798.0,28448627929.0
Lợi thế thương mại,b) Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ > Lợi thế thương mại,Lợi thế thương mại,24.291.092.636,24.316.909.973,24291092636.0,24316909973.0
Chi phí bằng tiền khác,b) Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ > Chi phí bằng tiền khác,Chi phí bằng tiền khác,13.428.172.794,12.169.501.368,13428172794.0,12169501368.0
Cộng,b) Các khoản chi phí quản lý doanh nghiệp phát sinh trong kỳ > Cộng,Cộng,137.590.362.717,137.467.606.845,137590362717.0,137467606845.0
