row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Bản quyền, bằng sáng chế",Phần mềm máy tính,TSCĐ vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,"numeric__Bản quyền, bằng sáng chế",numeric__Phần mềm máy tính,numeric__TSCĐ vô hình khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Tại ngày đầu năm,NGUYÊN GIÁ > Tại ngày đầu năm,Tại ngày đầu năm,194.356.998.900,136.363.635,4.604.453.600,988.680.000,200.086.496.135,194356998900.0,136363635.0,4604453600.0,988680000.0,200086496135.0
- Mua trong năm,NGUYÊN GIÁ > - Mua trong năm,- Mua trong năm,2.220.209.626,-,307.125.000,-,2.527.334.626,2220209626.0,,307125000.0,,2527334626.0
- Tăng khác,NGUYÊN GIÁ > - Tăng khác,- Tăng khác,-,-,230.980.000,-,230.980.000,,,230980000.0,,230980000.0
- Thanh lý nhượng bán,NGUYÊN GIÁ > - Thanh lý nhượng bán,- Thanh lý nhượng bán,-,-,(3.630.594.400),-,(3.630.594.400),,,-3630594400.0,,-3630594400.0
Tại ngày cuối năm,NGUYÊN GIÁ > Tại ngày cuối năm,Tại ngày cuối năm,196.577.208.526,136.363.635,1.511.964.200,988.680.000,199.214.216.361,196577208526.0,136363635.0,1511964200.0,988680000.0,199214216361.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Tại ngày đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày đầu năm,Tại ngày đầu năm,5.526.087.012,136.363.635,958.666.464,57.672.999,6.678.790.110,5526087012.0,136363635.0,958666464.0,57672999.0,6678790110.0
- Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > - Khấu hao trong năm,- Khấu hao trong năm,1.648.529.400,-,570.131.119,71.405.219,2.290.065.738,1648529400.0,,570131119.0,71405219.0,2290065738.0
"- Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",,-,(467.308.235),,(467.308.235),,,-467308235.0,,-467308235.0
Tại ngày cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày cuối năm,Tại ngày cuối năm,7.174.616.412,136.363.635,1.061.489.348,129.078.218,8.501.547.613,7174616412.0,136363635.0,1061489348.0,129078218.0,8501547613.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,188.830.911.888,-,3.645.787.136,931.007.001,193.407.706.025,188830911888.0,,3645787136.0,931007001.0,193407706025.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,189.402.592.114,-,450.474.852,859.601.782,190.712.668.748,189402592114.0,,450474852.0,859601782.0,190712668748.0
