row_label_raw,row_label_full,col_0,Dưới 1 năm,Từ 1 - 5 năm,Tổng,numeric__Dưới 1 năm,numeric__Từ 1 - 5 năm,numeric__Tổng
,,,VND,VND,VND,,,
Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,,,
Tiền và các khoản tương đương tiền,Tại ngày đầu năm > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,44.148.305.882,-,44.148.305.882,44148305882.0,,44148305882.0
"Phải thu khách hàng, phải thu về cho vay và phải thu khác","Tại ngày đầu năm > Phải thu khách hàng, phải thu về cho vay và phải thu khác","Phải thu khách hàng, phải thu về cho vay và phải thu khác",284.143.944.299,24.934.044.441,309.077.988.740,284143944299.0,24934044441.0,309077988740.0
Đầu tư tài chính ngắn hạn,Tại ngày đầu năm > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,1.642.018.203.026,-,1.642.018.203.026,1642018203026.0,,1642018203026.0
Đầu tư tài chính dài hạn,Tại ngày đầu năm > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,-,688.982.180.000,688.982.180.000,,688982180000.0,688982180000.0
Tổng cộng,Tại ngày đầu năm > Tổng cộng,Tổng cộng,1.970.310.453.207,713.916.224.441,2.684.226.677.648,1970310453207.0,713916224441.0,2684226677648.0
Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,,,
Các khoản vay,Tại ngày đầu năm > Các khoản vay,Các khoản vay,353.692.888.292,209.847.799.062,563.540.687.354,353692888292.0,209847799062.0,563540687354.0
Phải trả người bán và phải trả khác,Tại ngày đầu năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,187.379.705.718,21.354.764.679,208.734.470.397,187379705718.0,21354764679.0,208734470397.0
Chi phí phải trả,Tại ngày đầu năm > Chi phí phải trả,Chi phí phải trả,34.408.159.267,-,34.408.159.267,34408159267.0,,34408159267.0
Tổng cộng,Tại ngày đầu năm > Tổng cộng,Tổng cộng,575.480.753.277,231.202.563.741,806.683.317.018,575480753277.0,231202563741.0,806683317018.0
Chênh lệch thanh khoản thuần,Tại ngày đầu năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,1.394.829.699.930,482.713.660.700,1.877.543.360.630,1394829699930.0,482713660700.0,1877543360630.0
