row_label_raw,row_label_full,col_0,Số cuối năm,Số phải nộp trong năm,Số đã thực nộp trong năm,Số đầu năm,numeric__Số cuối năm,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__Số đầu năm
,,,VND,VND,VND,VND,,,,
Phải nộp,Phải nộp,Phải nộp,6.427.748.459,57.402.717.708,88.787.355.358,37.812.386.109,6427748459.0,57402717708.0,88787355358.0,37812386109.0
- Thuế GTGT,- Thuế GTGT,- Thuế GTGT,400.248.022,29.666.706.517,29.530.300.793,263.842.298,400248022.0,29666706517.0,29530300793.0,263842298.0
- Thuế TNDN,- Thuế TNDN,- Thuế TNDN,5.239.492.995,16.713.074.466,48.145.410.455,36.671.828.984,5239492995.0,16713074466.0,48145410455.0,36671828984.0
- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,786.246.592,7.898.868.874,7.987.576.259,874.953.977,786246592.0,7898868874.0,7987576259.0,874953977.0
"- Tiền thuê đất, tiền nhà đất","- Tiền thuê đất, tiền nhà đất","- Tiền thuê đất, tiền nhà đất",-,2.644.878.789,2.644.878.789,-,,2644878789.0,2644878789.0,
"- Các loại thuế, phí khác","- Các loại thuế, phí khác","- Các loại thuế, phí khác",1.760.850,479.189.062,479.189.062,1.760.850,1760850.0,479189062.0,479189062.0,1760850.0
Phải thu,Phải thu,Phải thu,3.094.671.603,2.438.161.601,3.796.730.700,1.736.102.504,3094671603.0,2438161601.0,3796730700.0,1736102504.0
- Thuế GTGT,- Thuế GTGT,- Thuế GTGT,753.408.172,318.300.268,1.015.573.939,56.134.501,753408172.0,318300268.0,1015573939.0,56134501.0
- Thuế TNDN,- Thuế TNDN,- Thuế TNDN,1.751.362.091,-,393.110.627,1.358.251.464,1751362091.0,,393110627.0,1358251464.0
- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,235.262.186,-,231.930.476,3.331.710,235262186.0,,231930476.0,3331710.0
- Thuế xuất nhập khẩu,- Thuế xuất nhập khẩu,- Thuế xuất nhập khẩu,354.639.154,2.119.861.333,2.156.115.658,318.384.829,354639154.0,2119861333.0,2156115658.0,318384829.0
