row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số đầu năm > Giá trị,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Dự phòng
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,VND86.460.492.470,VND(8.857.450.375),VND65.487.140.179,VND(7.807.450.375),,,,
"Lãi dự thu hợp đồng tiền gửi, cho vay, hợp tác đầu tư","a) Ngắn hạn > Lãi dự thu hợp đồng tiền gửi, cho vay, hợp tác đầu tư","Lãi dự thu hợp đồng tiền gửi, cho vay, hợp tác đầu tư",63.248.813.619,-,40.988.247.095,-,63248813619.0,,40988247095.0,
"Ký quỹ, ký cược","a) Ngắn hạn > Ký quỹ, ký cược","Ký quỹ, ký cược",4.399.357.220,-,2.467.611.256,-,4399357220.0,,2467611256.0,
Tạm ứng,a) Ngắn hạn > Tạm ứng,Tạm ứng,6.116.259.440,(689.833.740),7.029.280.858,(689.833.740),6116259440.0,-689833740.0,7029280858.0,-689833740.0
Phải thu về cổ phần hoá,a) Ngắn hạn > Phải thu về cổ phần hoá,Phải thu về cổ phần hoá,41.300.000,-,41.300.000,-,41300000.0,,41300000.0,
Phải thu Ông Đỗ Văn Tâm - khoản ứng trước tiền làm thủ tục xây dựng,a) Ngắn hạn > Phải thu Ông Đỗ Văn Tâm - khoản ứng trước tiền làm thủ tục xây dựng,Phải thu Ông Đỗ Văn Tâm - khoản ứng trước tiền làm thủ tục xây dựng,3.500.000.000,(3.500.000.000),3.500.000.000,(2.450.000.000),3500000000.0,-3500000000.0,3500000000.0,-2450000000.0
Nhà máy sẵn Bình Định,Nhà máy sẵn Bình Định,Nhà máy sẵn Bình Định,,,,,,,,
Phải thu khác,Nhà máy sẵn Bình Định > Phải thu khác,Phải thu khác,9.154.762.191,(4.667.616.635),11.460.700.970,(4.667.616.635),9154762191.0,-4667616635.0,11460700970.0,-4667616635.0
b) Dài hạn,Nhà máy sẵn Bình Định > b) Dài hạn,b) Dài hạn,1.031.500.000,-,5.984.345.115,-,1031500000.0,,5984345115.0,
"Ký cược, ký quỹ","Nhà máy sẵn Bình Định > Ký cược, ký quỹ","Ký cược, ký quỹ",1.031.500.000,-,5.984.345.115,-,1031500000.0,,5984345115.0,
