row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc",Tổng cộng,"numeric__Nhà cửa, vật kiến trúc",numeric__Tổng cộng
,,,VND,VND,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,
Tại ngày đầu năm,NGUYÊN GIÁ > Tại ngày đầu năm,Tại ngày đầu năm,84.672.504.853,84.672.504.853,84672504853.0,84672504853.0
Tại ngày cuối năm,NGUYÊN GIÁ > Tại ngày cuối năm,Tại ngày cuối năm,84.672.504.853,84.672.504.853,84672504853.0,84672504853.0
GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,,
Tại ngày đầu năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Tại ngày đầu năm,Tại ngày đầu năm,2.126.421.025,2.126.421.025,2126421025.0,2126421025.0
- Khấu hao trong kỳ,GIÁ TRỊ HAO MÔN LỦY KẾ > - Khấu hao trong kỳ,- Khấu hao trong kỳ,2.072.802.672,2.072.802.672,2072802672.0,2072802672.0
Tại ngày cuối năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Tại ngày cuối năm,Tại ngày cuối năm,4.199.223.697,4.199.223.697,4199223697.0,4199223697.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,82.546.083.828,82.546.083.828,82546083828.0,82546083828.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,80.473.281.156,80.473.281.156,80473281156.0,80473281156.0
