row_label_raw,row_label_full,Nội dung,Số trước điều chỉnh,Điều chỉnh,Sau điều chỉnh,numeric__Số trước điều chỉnh,numeric__Điều chỉnh,numeric__Sau điều chỉnh
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,1.240.740.514.377,11.452.447.735,1.252.192.962.112,1240740514377.0,11452447735.0,1252192962112.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,210.721.192.972,(11.452.447.735),199.268.745.237,210721192972.0,-11452447735.0,199268745237.0
Tổng,Tổng,Tổng,1.451.461.707.349,-,1.451.461.707.349,1451461707349.0,,1451461707349.0
