row_label_raw,row_label_full,CHỈ TIỀU,Mã số,Thuyết minh,Năm nay,Năm trước (Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại)
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,,1.632.312.710.410,1.667.997.836.209,1.0,,1632312710410.0,1667997836209.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,,35.714.883.577,42.636.849.924,2.0,,35714883577.0,42636849924.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ(10 = 01 - 02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ(10 = 01 - 02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ(10 = 01 - 02),10,26,1.596.597.826.833,1.625.360.986.285,10.0,26.0,1596597826833.0,1625360986285.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,27,1.268.507.450.834,1.252.192.962.112,11.0,27.0,1268507450834.0,1252192962112.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20 = 10 - 11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20 = 10 - 11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20 = 10 - 11),20,,328.090.375.999,373.168.024.173,20.0,,328090375999.0,373168024173.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,29,149.078.916.039,164.691.867.739,21.0,29.0,149078916039.0,164691867739.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,30,87.553.858.716,34.972.228.190,22.0,30.0,87553858716.0,34972228190.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,55.144.707.653,41.853.673.182,23.0,,55144707653.0,41853673182.0
"8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,,(18.035.594.067),(10.335.967.979),24.0,,-18035594067.0,-10335967979.0
9. Chi phí bán hàng,9. Chi phí bán hàng,9. Chi phí bán hàng,25,31,227.939.606.522,199.268.745.237,25.0,31.0,227939606522.0,199268745237.0
10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,26,31,137.590.362.717,137.467.606.845,26.0,31.0,137590362717.0,137467606845.0
11. Lợi nhuận thuần từ hoạt động kinh doanh{30 = 20 + (21 - 22) +24 - (25 + 26)},11. Lợi nhuận thuần từ hoạt động kinh doanh{30 = 20 + (21 - 22) +24 - (25 + 26)},11. Lợi nhuận thuần từ hoạt động kinh doanh{30 = 20 + (21 - 22) +24 - (25 + 26)},30,,6.049.870.016,155.815.343.661,30.0,,6049870016.0,155815343661.0
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,31,,4.534.095.234,13.053.519.511,31.0,,4534095234.0,13053519511.0
13. Chi phí khác,13. Chi phí khác,13. Chi phí khác,32,,4.266.744.601,4.460.047.081,32.0,,4266744601.0,4460047081.0
14. Lợi nhuận khác (40 = 31 - 32),14. Lợi nhuận khác (40 = 31 - 32),14. Lợi nhuận khác (40 = 31 - 32),40,,267.350.633,8.593.472.430,40.0,,267350633.0,8593472430.0
15. Tổng lợi nhuận kế toán trước thuế(50 = 30 + 40),15. Tổng lợi nhuận kế toán trước thuế(50 = 30 + 40),15. Tổng lợi nhuận kế toán trước thuế(50 = 30 + 40),50,,6.317.220.649,164.408.816.091,50.0,,6317220649.0,164408816091.0
16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,51,32,16.650.712.667,49.403.510.518,51.0,32.0,16650712667.0,49403510518.0
17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,52,,(1.019.794.289),2.422.673.292,52.0,,-1019794289.0,2422673292.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60 = 50 - 51 - 52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60 = 50 - 51 - 52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60 = 50 - 51 - 52),60,,(9.313.697.729),112.582.632.281,60.0,,-9313697729.0,112582632281.0
19. Lợi nhuận sau thuế của Công ty mẹ,19. Lợi nhuận sau thuế của Công ty mẹ,19. Lợi nhuận sau thuế của Công ty mẹ,61,,296.307.922,106.047.360.305,61.0,,296307922.0,106047360305.0
20. Lợi nhuận sau thuế của cổ đông không kiểm soát,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,(9.610.005.651),6.535.271.976,62.0,,-9610005651.0,6535271976.0
21. Lãi cơ bản trên cổ phiếu,21. Lãi cơ bản trên cổ phiếu,21. Lãi cơ bản trên cổ phiếu,70,33,1,417,70.0,33.0,1.0,417.0
