row_label_raw,row_label_full,Tên Công ty,Mối quan hệ,numeric__Mối quan hệ
Công ty CP FIT Cosmetics,Công ty CP FIT Cosmetics,Công ty CP FIT Cosmetics,Công ty liên kết,
Công ty CP Nước khoáng Khánh Hòa,Công ty CP Nước khoáng Khánh Hòa,Công ty CP Nước khoáng Khánh Hòa,Công ty liên kết,
Công ty CP Chứng khoán Đại Nam,Công ty CP Chứng khoán Đại Nam,Công ty CP Chứng khoán Đại Nam,Công ty liên kết,
Công ty Cổ phần đầu tư Dũng Tâm,Công ty Cổ phần đầu tư Dũng Tâm,Công ty Cổ phần đầu tư Dũng Tâm,Công ty có liên quan với thành viên HĐQT,
Công ty Cổ phần Today Comestic,Công ty Cổ phần Today Comestic,Công ty Cổ phần Today Comestic,Công ty có liên quan với thành viên HĐQT,
Công ty Cổ phần đầu tư KD,Công ty Cổ phần đầu tư KD,Công ty Cổ phần đầu tư KD,Công ty có liên quan với thành viên HĐQT,
Công ty Cổ phần phát triển bất động sản DPV,Công ty Cổ phần phát triển bất động sản DPV,Công ty Cổ phần phát triển bất động sản DPV,Công ty có liên quan với thành viên HĐQT,
Công ty Cổ phần mũi dinh Ecopark,Công ty Cổ phần mũi dinh Ecopark,Công ty Cổ phần mũi dinh Ecopark,Công ty có liên quan với thành viên HĐQT,
Công ty Cổ phần khu du lịch Champarama,Công ty Cổ phần khu du lịch Champarama,Công ty Cổ phần khu du lịch Champarama,Công ty có liên quan với thành viên HĐQT,
Công ty TNHH Công nghệ Sapa Việt Nam,Công ty TNHH Công nghệ Sapa Việt Nam,Công ty TNHH Công nghệ Sapa Việt Nam,Công ty có liên quan với người có liên quan,
Công ty TNHH Vinkocon,Công ty TNHH Vinkocon,Công ty TNHH Vinkocon,Công ty có liên quan với người có liên quan,
Công ty TNHH VN Green Energy Power,Công ty TNHH VN Green Energy Power,Công ty TNHH VN Green Energy Power,Công ty có liên quan với người có liên quan,
