row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiện vântải, truyền dẫn",Thiết bị dụng cụquản lý,TSCĐ hữu hìnhkhác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiện vântải, truyền dẫn",numeric__Thiết bị dụng cụquản lý,numeric__TSCĐ hữu hìnhkhác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Tại ngày đầu năm,NGUYÊN GIÁ > Tại ngày đầu năm,Tại ngày đầu năm,251.530.566.580,513.706.522.705,33.581.373.961,13.128.650.898,90.318.504.904,902.265.619.048,251530566580.0,513706522705.0,33581373961.0,13128650898.0,90318504904.0,902265619048.0
- Mua trong năm,NGUYÊN GIÁ > - Mua trong năm,- Mua trong năm,1.696.168.863,28.583.303.573,1.871.588.455,474.432.944,-,32.625.493.835,1696168863.0,28583303573.0,1871588455.0,474432944.0,,32625493835.0
- Đầu tư XDCB hoàn thành,NGUYÊN GIÁ > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,39.482.326.136,140.424.091.075,31.000.000,-,-,179.937.417.211,39482326136.0,140424091075.0,31000000.0,,,179937417211.0
"- Thanh lý, nhượng bán","NGUYÊN GIÁ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(490.650.189),(63.000.000),-,(553.650.189),,,-490650189.0,-63000000.0,,-553650189.0
- Giảm khác,NGUYÊN GIÁ > - Giảm khác,- Giảm khác,-,(285.000.000),-,-,-,(285.000.000),,-285000000.0,,,,-285000000.0
- Phân loại lại,NGUYÊN GIÁ > - Phân loại lại,- Phân loại lại,-,-,-,63.000.000,(63.000.000),-,,,,63000000.0,-63000000.0,
Tại ngày cuối năm,NGUYÊN GIÁ > Tại ngày cuối năm,Tại ngày cuối năm,292.709.061.579,682.428.917.353,34.993.312.227,13.603.083.842,90.255.504.904,1.113.989.879.905,292709061579.0,682428917353.0,34993312227.0,13603083842.0,90255504904.0,1113989879905.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Tại ngày đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày đầu năm,Tại ngày đầu năm,98.473.780.241,363.650.138.162,18.780.744.898,3.295.720.754,53.967.245.087,538.167.629.142,98473780241.0,363650138162.0,18780744898.0,3295720754.0,53967245087.0,538167629142.0
- Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > - Khấu hao trong năm,- Khấu hao trong năm,10.915.602.882,32.741.010.036,3.166.992.213,2.138.882.815,3.747.684.523,52.710.172.469,10915602882.0,32741010036.0,3166992213.0,2138882815.0,3747684523.0,52710172469.0
"- Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(490.650.189),(42.000.000),-,(532.650.189),,,-490650189.0,-42000000.0,,-532650189.0
- Giảm khác,GIÁ TRỊ HAO MÒN LỦY KẾ > - Giảm khác,- Giảm khác,-,(26.125.000),-,-,-,(26.125.000),,-26125000.0,,,,-26125000.0
- Phân loại lại khấu hao,GIÁ TRỊ HAO MÒN LỦY KẾ > - Phân loại lại khấu hao,- Phân loại lại khấu hao,-,-,-,21.000.000,(21.000.000),-,,,,21000000.0,-21000000.0,
Tại ngày cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày cuối năm,Tại ngày cuối năm,109.389.383.123,396.365.023.198,21.457.086.922,5.413.603.569,57.693.929.610,590.319.026.422,109389383123.0,396365023198.0,21457086922.0,5413603569.0,57693929610.0,590319026422.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,153.056.786.339,150.056.384.543,14.800.629.063,9.832.930.144,36.351.259.817,364.097.989.906,153056786339.0,150056384543.0,14800629063.0,9832930144.0,36351259817.0,364097989906.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,183.319.678.456,286.063.894.155,13.536.225.305,8.189.480.273,32.561.575.294,523.670.853.483,183319678456.0,286063894155.0,13536225305.0,8189480273.0,32561575294.0,523670853483.0
