row_label_raw,row_label_full,col_0,Giá trịVND,numeric__Giá trịVND
Tại thời điểm phát hành trái phiếu chuyển đổi,Tại thời điểm phát hành trái phiếu chuyển đổi,Tại thời điểm phát hành trái phiếu chuyển đổi,Tại thời điểm phát hành trái phiếu chuyển đổi,
Giá trị trái phiếu chuyển đổi,Tại thời điểm phát hành trái phiếu chuyển đổi > Giá trị trái phiếu chuyển đổi,Giá trị trái phiếu chuyển đổi,453.400.000.000,453400000000.0
- Cơ cấu vốn chủ sở hữu,Tại thời điểm phát hành trái phiếu chuyển đổi > - Cơ cấu vốn chủ sở hữu,- Cơ cấu vốn chủ sở hữu,31.465.441.126,31465441126.0
- Cơ cấu nợ gốc ghi nhận ban đầu (1),Tại thời điểm phát hành trái phiếu chuyển đổi > - Cơ cấu nợ gốc ghi nhận ban đầu (1),- Cơ cấu nợ gốc ghi nhận ban đầu (1),421.934.558.874,421934558874.0
Giá trị phân bổ lũy kế phần giá trị chiết khấu,Giá trị phân bổ lũy kế phần giá trị chiết khấu,Giá trị phân bổ lũy kế phần giá trị chiết khấu,Giá trị phân bổ lũy kế phần giá trị chiết khấu,
Số đầu năm,Số đầu năm,Số đầu năm,-,
Số phân bổ tăng trong năm,Số đầu năm > Số phân bổ tăng trong năm,Số phân bổ tăng trong năm,5.360.852.718,5360852718.0
Số cuối năm (2),Số đầu năm > Số cuối năm (2),Số cuối năm (2),5.360.852.718,5360852718.0
Giá trị đánh giá lại chênh lệch tỷ giá nợ gốc cuối năm (3),Số đầu năm > Giá trị đánh giá lại chênh lệch tỷ giá nợ gốc cuối năm (3),Giá trị đánh giá lại chênh lệch tỷ giá nợ gốc cuối năm (3),10.837.885.229,10837885229.0
Số dư tại thời điểm cuối năm =(1) + (2) + (3),Số đầu năm > Số dư tại thời điểm cuối năm =(1) + (2) + (3),Số dư tại thời điểm cuối năm =(1) + (2) + (3),438.133.296.821,438133296821.0
