row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu nămVND,numeric__Số cuối nămVND,numeric__Số đầu nămVND
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,38.255.676.534,24.605.070.340,38255676534.0,24605070340.0
- Tài sản thừa chờ giải quyết,- Tài sản thừa chờ giải quyết,- Tài sản thừa chờ giải quyết,172.739.856,172.739.856,172739856.0,172739856.0
"- BHXH, BHYT, BHTN, KPCĐ","- BHXH, BHYT, BHTN, KPCĐ","- BHXH, BHYT, BHTN, KPCĐ",1.266.182.511,747.172.127,1266182511.0,747172127.0
"- Nhận ký quỹ, ký cược ngắn hạn;","- Nhận ký quỹ, ký cược ngắn hạn;","- Nhận ký quỹ, ký cược ngắn hạn;",7.834.847.715,-,7834847715.0,
- Phải trả khoản nhận hợp tác kinh doanh,- Phải trả khoản nhận hợp tác kinh doanh,- Phải trả khoản nhận hợp tác kinh doanh,26.454.531.642,12.000.000.000,26454531642.0,12000000000.0
Công ty Cổ phần Đầu tư Dũng Tâm (i),Công ty Cổ phần Đầu tư Dũng Tâm (i),Công ty Cổ phần Đầu tư Dũng Tâm (i),10.000.000.000,10.000.000.000,10000000000.0,10000000000.0
Công Ty CP Đầu Tư Thương Mại Hoa Sen Việt Nam (ii),Công Ty CP Đầu Tư Thương Mại Hoa Sen Việt Nam (ii),Công Ty CP Đầu Tư Thương Mại Hoa Sen Việt Nam (ii),30.000.000,2.000.000.000,30000000.0,2000000000.0
Ông Nguyễn Ngọc Bích (iii),Ông Nguyễn Ngọc Bích (iii),Ông Nguyễn Ngọc Bích (iii),7.000.000.000,-,7000000000.0,
Ông Phạm Vũ Hà (iv),Ông Phạm Vũ Hà (iv),Ông Phạm Vũ Hà (iv),7.450.000.000,-,7450000000.0,
Lãi phải trả về hợp đồng hợp tác đầu tư,Lãi phải trả về hợp đồng hợp tác đầu tư,Lãi phải trả về hợp đồng hợp tác đầu tư,1.974.531.642,,1974531642.0,
- Tập đoàn Valeant,- Tập đoàn Valeant,- Tập đoàn Valeant,-,8.500.000.000,,8500000000.0
"- Cổ tức, lợi nhuận phải trả","- Cổ tức, lợi nhuận phải trả","- Cổ tức, lợi nhuận phải trả",16.588.900,-,16588900.0,
- Phải trả khác,- Phải trả khác,- Phải trả khác,2.510.785.910,3.185.158.357,2510785910.0,3185158357.0
b) Dài hạn,b) Dài hạn,b) Dài hạn,14.023.415.744,21.354.764.679,14023415744.0,21354764679.0
"- Nhận ký quỹ, ký cược dài hạn","- Nhận ký quỹ, ký cược dài hạn","- Nhận ký quỹ, ký cược dài hạn",1.684.417.950,8.591.407.665,1684417950.0,8591407665.0
"- Các khoản phải trả, phải nộp khác","- Các khoản phải trả, phải nộp khác","- Các khoản phải trả, phải nộp khác",2.338.997.794,2.763.357.014,2338997794.0,2763357014.0
- Phải trả khoản nhận hợp tác kinh doanh,- Phải trả khoản nhận hợp tác kinh doanh,- Phải trả khoản nhận hợp tác kinh doanh,10.000.000.000,10.000.000.000,10000000000.0,10000000000.0
Công ty Cổ phần Phát triển Bất động sản DPV (v),Công ty Cổ phần Phát triển Bất động sản DPV (v),Công ty Cổ phần Phát triển Bất động sản DPV (v),10.000.000.000,10.000.000.000,10000000000.0,10000000000.0
