row_label_raw,row_label_full,col_0,Code Note,2022 VND,2021 VND,numeric__Code Note,numeric__2022 VND,numeric__2021 VND
CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,,,
Accounting profit before tax,CASH FLOWS FROM OPERATING ACTIVITIES > Accounting profit before tax,Accounting profit before tax,01,"6,813,417,318,962","4,856,894,249,743",1.0,,
Adjustments for,Adjustments for,Adjustments for,Adjustments for,Adjustments for,Adjustments for,,,
Depreciation and amortisation,Adjustments for > Depreciation and amortisation,Depreciation and amortisation,02,"561,105,325,398","557,477,760,126",2.0,,
Allowances and provisions,Adjustments for > Allowances and provisions,Allowances and provisions,03,"(375,364,909)","(63,136,957,901)",3.0,,
Exchange gains arising from revaluation of monetary items,Exchange gains arising from revaluation of monetary items,Exchange gains arising from revaluation of monetary items,Exchange gains arising from revaluation of monetary items,Exchange gains arising from revaluation of monetary items,Exchange gains arising from revaluation of monetary items,,,
denominated in foreign currencies,Exchange gains arising from revaluation of monetary items > denominated in foreign currencies,denominated in foreign currencies,04,"(6,770,234,675)","(24,130,427,975)",4.0,,
Profits from investing activities,Exchange gains arising from revaluation of monetary items > Profits from investing activities,Profits from investing activities,05,"(1,030,693,700,071)","(1,072,403,100,336)",5.0,,
Shared profits in associates and jointly controlled entities,Exchange gains arising from revaluation of monetary items > Shared profits in associates and jointly controlled entities,Shared profits in associates and jointly controlled entities,05,"(323,119,361,276)","(172,939,963,562)",5.0,,
Interest expense,Exchange gains arising from revaluation of monetary items > Interest expense,Interest expense,06,"45,517,297,000","48,739,800,374",6.0,,
Reversal of science and technology development fund,Exchange gains arising from revaluation of monetary items > Reversal of science and technology development fund,Reversal of science and technology development fund,07,-,"(73,817,939,085)",7.0,,
Operating profit before changes in working capital,Exchange gains arising from revaluation of monetary items > Operating profit before changes in working capital,Operating profit before changes in working capital,08,"6,059,081,280,429","4,056,683,421,384",8.0,,
Change in receivables,Exchange gains arising from revaluation of monetary items > Change in receivables,Change in receivables,09,"(318,889,338,291)","(52,721,845,531)",9.0,,
Change in inventories,Exchange gains arising from revaluation of monetary items > Change in inventories,Change in inventories,10,"(524,913,148,727)","(223,957,039,716)",10.0,,
Change in payables and other liabilities,Exchange gains arising from revaluation of monetary items > Change in payables and other liabilities,Change in payables and other liabilities,11,"739,396,642,915","658,279,721,558",11.0,,
Change in prepaid expenses,Exchange gains arising from revaluation of monetary items > Change in prepaid expenses,Change in prepaid expenses,12,"(94,057,434,127)","145,399,315,693",12.0,,
,,,,"5,860,618,002,199","4,583,683,573,388",,,
Interest paid,Exchange gains arising from revaluation of monetary items > Interest paid,Interest paid,14,"(48,765,455,244)","(35,346,961,903)",14.0,,
Corporate income tax paid,Exchange gains arising from revaluation of monetary items > Corporate income tax paid,Corporate income tax paid,15,"(1,329,727,378,601)","(919,005,428,188)",15.0,,
Other payments for operating activities,Exchange gains arising from revaluation of monetary items > Other payments for operating activities,Other payments for operating activities,17,"(103,607,745,314)","(111,479,623,915)",17.0,,
Net cash flows from operating activities,Exchange gains arising from revaluation of monetary items > Net cash flows from operating activities,Net cash flows from operating activities,20,"4,378,517,423,040","3,517,851,559,382",20.0,,
