row_label_raw,row_label_full,col_0,Transaction value,Transaction value_1,numeric__Transaction value,numeric__Transaction value_1
,,,2022VND,2021VND,,
Sai Gon - Mien Trung Beer Joint Stock Company,Sai Gon - Mien Trung Beer Joint Stock Company,Sai Gon - Mien Trung Beer Joint Stock Company,Sai Gon - Mien Trung Beer Joint Stock Company,Sai Gon - Mien Trung Beer Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"476,504,344,503","379,890,505,349",,
Provision of services,Provision of services,Provision of services,"582,211,991","563,788,528",,
Sales of tools and supplies,Sales of tools and supplies,Sales of tools and supplies,"177,125,000","88,482,000",,
Sales of finished goods,Sales of finished goods,Sales of finished goods,"233,380,000","318,100,000",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"1,417,094,941,070","1,278,755,571,382",,
Purchases of raw materials,Purchases of raw materials,Purchases of raw materials,"1,711,060,750","1,965,336,008",,
Warehouse rental fee,Warehouse rental fee,Warehouse rental fee,"918,607,770","873,059,168",,
Other transactions,Other transactions,Other transactions,"308,747,843","483,091,565",,
Dividends received,Dividends received,Dividends received,"33,854,670,500","24,375,807,500",,
Advertising and promotion expenses,Advertising and promotion expenses,Advertising and promotion expenses,"46,869,072",-,,
Sai Gon - Vinh Long Beer Joint Stock Company,Sai Gon - Vinh Long Beer Joint Stock Company,Sai Gon - Vinh Long Beer Joint Stock Company,Sai Gon - Vinh Long Beer Joint Stock Company,Sai Gon - Vinh Long Beer Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"419,398,830,067","261,415,069,467",,
Provision of services,Provision of services,Provision of services,"3,235,716,196","5,093,716,092",,
Sales of finished goods,Sales of finished goods,Sales of finished goods,"63,680,311","3,027,400",,
Sales of tools and supplies,Sales of tools and supplies,Sales of tools and supplies,-,"3,260,746",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"1,097,108,428,970","802,519,930,925",,
Purchases of raw materials,Purchases of raw materials,Purchases of raw materials,-,"1,844,906,000",,
Purchases of others,Purchases of others,Purchases of others,"9,049,697","446,600,000",,
Dividends received,Dividends received,Dividends received,"7,500,000,000","5,100,000,000",,
Saigon Binh Tay Beer Group Joint Stock Company,Saigon Binh Tay Beer Group Joint Stock Company,Saigon Binh Tay Beer Group Joint Stock Company,Saigon Binh Tay Beer Group Joint Stock Company,Saigon Binh Tay Beer Group Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"715,673,570,927","420,320,668,438",,
Provision of services,Provision of services,Provision of services,"6,291,233,462","4,216,020,541",,
Sales of other goods,Sales of other goods,Sales of other goods,"37,694,000",-,,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"1,886,988,653,950","1,266,494,775,070",,
Other transactions,Other transactions,Other transactions,"446,055,216",-,,
Dividends received,Dividends received,Dividends received,"9,706,300,732",-,,
Dividends,Dividends,Dividends,"3,866,721,000","3,100,027,500",,
Saigon - Baclieu Beer Joint Stock Company,Saigon - Baclieu Beer Joint Stock Company,Saigon - Baclieu Beer Joint Stock Company,Saigon - Baclieu Beer Joint Stock Company,Saigon - Baclieu Beer Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"66,411,900,714","48,874,437,035",,
Provision of services,Provision of services,Provision of services,"2,153,547,847","1,839,010,602",,
Sales of other goods,Sales of other goods,Sales of other goods,"46,746,000",-,,
Sales of finished goods,Sales of finished goods,Sales of finished goods,"135,027,000",-,,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"328,820,709,400","318,756,899,800",,
Purchases of raw materials,Purchases of raw materials,Purchases of raw materials,"314,350,000","146,021,200",,
Purchases of services,Purchases of services,Purchases of services,"860,403,596",-,,
Advertising and promotion expenses,Advertising and promotion expenses,Advertising and promotion expenses,"1,568,053,707",-,,
