row_label_raw,row_label_full,No,Company name,Principal activities,31/12/2022 > % of equity interest,31/12/2022 > % of voting rights,1/1/2022 > % of equity interest,1/1/2022 > % of voting rights,numeric__Company name,numeric__Principal activities,numeric__31/12/2022 > % of equity interest,numeric__31/12/2022 > % of voting rights,numeric__1/1/2022 > % of equity interest,numeric__1/1/2022 > % of voting rights
14,14,14,Sai Gon Beer Tay Nguyen Trading Joint Stock Company,"Trading beer, alcohol and beverages; providing warehousing and transportation services",90.00%,90.00%,90.00%,90.00%,,,90.0,90.0,90.0,90.0
15,15,15,Saigon Beer Nam Trung Bo Trading Joint Stock Company,"Trading beer, alcohol and beverages; providing warehousing and cargo transportation services",90.14%,90.14%,90.14%,90.14%,,,90.14,90.14,90.14,90.14
16,16,16,Sai Gon Beer Eastern Trading Joint Stock Company,"Trading beer, alcohol and beverages; providing cargo transportation by road and waterway services",90.68%,90.68%,90.68%,90.68%,,,90.68,90.68,90.68,90.68
17,17,17,Song Tien Saigon Beer Trading Joint Stock Company,"Trading beer, alcohol and beverages; providing warehousing and cargo transportation by road services",90.00%,90.00%,90.00%,90.00%,,,90.0,90.0,90.0,90.0
18,18,18,Saigon Song Hau Beer Trading Joint Stock Company,"Trading beer, alcohol and beverages; providing cargo transportation by road and waterway services",90.00%,90.00%,90.00%,90.00%,,,90.0,90.0,90.0,90.0
19,19,19,"Sa Be Co Mechanical Co., Ltd","Manufacturing equipment used in food manufacturing, installing and maintaining machinery system and equipment",100%,100%,100%,100%,,,1.0,1.0,1.0,1.0
20,20,20,Saigon Soc Trang Beer One Member Limited Company,"Producing and trading beer, yeasty malt, mineral water, bottled purified water",51.00%,100%,51.00%,100%,,,51.0,1.0,51.0,1.0
21,21,21,Sai Gon Beer Northeast Trading Joint Stock Company,"Trading beer, alcohol and beverages; providing warehousing and cargo transportation services",90.45%,90.45%,90.45%,90.45%,,,90.45,90.45,90.45,90.45
22,22,22,Sai Gon - Ha Tinh Beer One Member Company Limited,"Producing and trading beer, yeasty malt, mineral water, bottled purified water",100%,100%,100%,100%,,,1.0,1.0,1.0,1.0
23,23,23,Sai Gon Beer Packaging Joint Stock Company,"Producing and trading tin lid rings and metal packaging, packaging for food and beverage industry",76.81%,76.81%,76.81%,76.81%,,,76.81,76.81,76.81,76.81
24,24,24,Saigon Beer Company Limited,"Wholesale of beer, alcohol and beverages",100%,100%,100%,100%,,,1.0,1.0,1.0,1.0
25,25,25,Saigon Beer Group Company Limited,"Wholesale of beer, alcohol and beverages",100%,100%,100%,100%,,,1.0,1.0,1.0,1.0
26,26,26,Saigon - Lamdong Beer Joint Stock Company,"Producing and trading beer, alcohol and beverages",52.91%,52.91%,52.91%,52.91%,,,52.91,52.91,52.91,52.91
