row_label_raw,row_label_full,col_0,2022VND,2021VND(Restated),numeric__2022VND,numeric__2021VND(Restated)
Net profit for the year,Net profit for the year,Net profit for the year,"5,223,851,427,095","3,677,252,341,304",,
Appropriation to bonus and welfare fund,Appropriation to bonus and welfare fund,Appropriation to bonus and welfare fund,"(104,662,591,910)","(114,331,893,034)",,
Net profit attributable to ordinary shareholders,Net profit attributable to ordinary shareholders,Net profit attributable to ordinary shareholders,"5,119,188,835,185","3,562,920,448,270",,
