row_label_raw,row_label_full,col_0,Transaction value,Transaction value_1,numeric__Transaction value,numeric__Transaction value_1
,,,2022VND,2021VND,,
The ultimate parent company,The ultimate parent company,The ultimate parent company,The ultimate parent company,The ultimate parent company,,
Thai Beverage Public Company Limited,Thai Beverage Public Company Limited,Thai Beverage Public Company Limited,,,,
Payments on behalf of the Group,Payments on behalf of the Group,Payments on behalf of the Group,"938,472,331","6,155,192,544",,
The intermediate parent company,The intermediate parent company,The intermediate parent company,The intermediate parent company,The intermediate parent company,,
BeerCo Limited,BeerCo Limited,BeerCo Limited,,,,
Payments on behalf of the Group,Payments on behalf of the Group,Payments on behalf of the Group,"12,283,947,646","10,185,243,890",,
The parent company,The parent company,The parent company,The parent company,The parent company,,
Vietnam Beverage Company Limited,Vietnam Beverage Company Limited,Vietnam Beverage Company Limited,,,,
Sales of finished goods,Sales of finished goods,Sales of finished goods,"6,662,880",-,,
Dividends,Dividends,Dividends,"1,718,212,935,000","1,202,749,054,500",,
Associates and jointly controlled entities,Associates and jointly controlled entities,Associates and jointly controlled entities,Associates and jointly controlled entities,Associates and jointly controlled entities,,
Sai Gon - Khanh Hoa Beer Joint Stock Company,Sai Gon - Khanh Hoa Beer Joint Stock Company,Sai Gon - Khanh Hoa Beer Joint Stock Company,Sai Gon - Khanh Hoa Beer Joint Stock Company,Sai Gon - Khanh Hoa Beer Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"277,210,617,190","221,117,524,072",,
Provision of services,Provision of services,Provision of services,"50,400,000",-,,
Sales of finished goods,Sales of finished goods,Sales of finished goods,"94,473,400","102,931,600",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"687,039,271,270","652,161,376,737",,
Other purchases,Other purchases,Other purchases,"115,579,743",-,,
Sai Gon - Kien Giang Beer Joint Stock Company,Sai Gon - Kien Giang Beer Joint Stock Company,Sai Gon - Kien Giang Beer Joint Stock Company,Sai Gon - Kien Giang Beer Joint Stock Company,Sai Gon - Kien Giang Beer Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"426,200,166,761","254,845,958,852",,
Provision of services,Provision of services,Provision of services,"160,968,241","219,121,318",,
Sales of tools and supplies,Sales of tools and supplies,Sales of tools and supplies,"4,198,000","7,600,000",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"1,134,943,493,990","775,724,723,429",,
Purchases of packaging materials,Purchases of packaging materials,Purchases of packaging materials,"99,246,875",-,,
Other purchases,Other purchases,Other purchases,"53,541,966","28,156,800",,
Saigon - Phutho Beer Joint Stock Company,Saigon - Phutho Beer Joint Stock Company,Saigon - Phutho Beer Joint Stock Company,Saigon - Phutho Beer Joint Stock Company,Saigon - Phutho Beer Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"273,511,135,232","212,467,158,527",,
Provision of services,Provision of services,Provision of services,"47,600,000",-,,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"656,439,445,070","645,412,261,719",,
Other purchases,Other purchases,Other purchases,"95,461,677",-,,
Dividends received,Dividends received,Dividends received,"6,347,700,000","6,347,700,000",,
