row_label_raw,row_label_full,col_0,Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê_1,Bất động sản đầu tư nằm giữ chờ tăng giá,Bất động sản đầu tư nằm giữ chờ tăng giá_1,numeric__Bất động sản đầu tư cho thuê,numeric__Bất động sản đầu tư cho thuê_1,numeric__Bất động sản đầu tư nằm giữ chờ tăng giá,numeric__Bất động sản đầu tư nằm giữ chờ tăng giá_1
,,,Quyền sử dụng đất VND,Nhà cửa và vật kiến trúc VND,Quyền sử dụng đất VND,Tổng VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,27.812.438.744,26.354.235.602,13.511.310.895,67.677.985.241,27812438744.0,26354235602.0,13511310895.0,67677985241.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,111.615.730.291,-,111.615.730.291,,111615730291.0,,111615730291.0
Phân loại lại từ tài sản cố định hữu hình,Nguyên giá > Phân loại lại từ tài sản cố định hữu hình,Phân loại lại từ tài sản cố định hữu hình,-,3.642.135.452,-,3.642.135.452,,3642135452.0,,3642135452.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,27.812.438.744,141.612.101.345,13.511.310.895,182.935.850.984,27812438744.0,141612101345.0,13511310895.0,182935850984.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,9.115.510.786,14.141.313.695,3.150.911.918,26.407.736.399,9115510786.0,14141313695.0,3150911918.0,26407736399.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,604.618.256,2.017.689.760,-,2.622.308.016,604618256.0,2017689760.0,,2622308016.0
Phân loại lại từ tài sản cố định hữu hình,Giá trị hao mòn lũy kế > Phân loại lại từ tài sản cố định hữu hình,Phân loại lại từ tài sản cố định hữu hình,-,776.819.559,-,776.819.559,,776819559.0,,776819559.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,9.720.129.042,16.935.823.014,3.150.911.918,29.806.863.974,9720129042.0,16935823014.0,3150911918.0,29806863974.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,18.696.927.958,12.212.921.907,10.360.398.977,41.270.248.842,18696927958.0,12212921907.0,10360398977.0,41270248842.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,18.092.309.702,124.676.278.331,10.360.398.977,153.128.987.010,18092309702.0,124676278331.0,10360398977.0,153128987010.0
