row_label_raw,row_label_full,col_0,Code Note,2022 VND,2021 VND,numeric__Code Note,numeric__2022 VND,numeric__2021 VND
CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,,,
Payments for additions to fixed assets,CASH FLOWS FROM INVESTING ACTIVITIES > Payments for additions to fixed assets,Payments for additions to fixed assets,21,"(533,164,261,997)","(329,541,012,650)",21.0,,
Proceeds from disposals of fixed assets,CASH FLOWS FROM INVESTING ACTIVITIES > Proceeds from disposals of fixed assets,Proceeds from disposals of fixed assets,22,"4,266,273,000","3,485,470,000",22.0,,
Placements of term deposits at banks,CASH FLOWS FROM INVESTING ACTIVITIES > Placements of term deposits at banks,Placements of term deposits at banks,23,"(22,641,269,675,342)","(18,159,840,000,000)",23.0,,
Collections of term deposits at banks,CASH FLOWS FROM INVESTING ACTIVITIES > Collections of term deposits at banks,Collections of term deposits at banks,24,"20,288,539,175,342","15,706,420,432,877",24.0,,
Proceeds from disposals of equity investments in other entities,CASH FLOWS FROM INVESTING ACTIVITIES > Proceeds from disposals of equity investments in other entities,Proceeds from disposals of equity investments in other entities,26,-,"444,560,822,504",26.0,,
Receipts of interests and dividends,CASH FLOWS FROM INVESTING ACTIVITIES > Receipts of interests and dividends,Receipts of interests and dividends,27,"1,013,860,242,106","1,111,565,947,946",27.0,,
Net cash flows from investing activities,CASH FLOWS FROM INVESTING ACTIVITIES > Net cash flows from investing activities,Net cash flows from investing activities,30,"(1,867,768,246,891)","(1,223,348,339,323)",30.0,,
CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,,,
Proceeds from borrowings,CASH FLOWS FROM FINANCING ACTIVITIES > Proceeds from borrowings,Proceeds from borrowings,33,"3,279,890,701,619","2,984,178,514,935",33.0,,
Payments to settle loan principals,CASH FLOWS FROM FINANCING ACTIVITIES > Payments to settle loan principals,Payments to settle loan principals,34,"(2,908,733,012,244)","(3,301,893,636,020)",34.0,,
Payments of dividends,CASH FLOWS FROM FINANCING ACTIVITIES > Payments of dividends,Payments of dividends,36,"(2,418,865,072,091)","(1,096,306,570,171)",36.0,,
Net cash flows from financing activities,CASH FLOWS FROM FINANCING ACTIVITIES > Net cash flows from financing activities,Net cash flows from financing activities,40,"(2,047,707,382,716)","(1,414,021,691,256)",40.0,,
Net cash flows during the year (50 = 20 + 30 + 40),CASH FLOWS FROM FINANCING ACTIVITIES > Net cash flows during the year (50 = 20 + 30 + 40),Net cash flows during the year (50 = 20 + 30 + 40),50,"463,041,793,433","880,481,528,803",50.0,,
Cash and cash equivalents at the beginning of the year,CASH FLOWS FROM FINANCING ACTIVITIES > Cash and cash equivalents at the beginning of the year,Cash and cash equivalents at the beginning of the year,60,"3,606,454,403,209","2,726,137,088,387",60.0,,
Effect of exchange rate fluctuations on cash and cash equivalents,CASH FLOWS FROM FINANCING ACTIVITIES > Effect of exchange rate fluctuations on cash and cash equivalents,Effect of exchange rate fluctuations on cash and cash equivalents,61,"(32,036,000)","(164,213,981)",61.0,,
Cash and cash equivalents at the end of the year (70 = 50 + 60 + 61),CASH FLOWS FROM FINANCING ACTIVITIES > Cash and cash equivalents at the end of the year (70 = 50 + 60 + 61),Cash and cash equivalents at the end of the year (70 = 50 + 60 + 61),70,"4,069,464,160,642","3,606,454,403,209",70.0,,
