row_label_raw,row_label_full,col_0,2022VND,2021VND(Đã điều chỉnh lại),numeric__2022VND,numeric__2021VND(Đã điều chỉnh lại)
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,5.223.851.427.095,3.677.252.341.304,5223851427095.0,3677252341304.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",(104.662.591.910),(114.331.893.034),-104662591910.0,-114331893034.0
Lợi nhuận thuần thuộc về cổ đông phổ thông,Lợi nhuận thuần thuộc về cổ đông phổ thông,Lợi nhuận thuần thuộc về cổ đông phổ thông,5.119.188.835.185,3.562.920.448.270,5119188835185.0,3562920448270.0
