row_label_raw,row_label_full,col_0,Code,Note,31/12/2022VND,1/1/2022VND,numeric__Code,numeric__Note,numeric__31/12/2022VND,numeric__1/1/2022VND
RESOURCES,RESOURCES,RESOURCES,RESOURCES,RESOURCES,RESOURCES,RESOURCES,,,,
LIABILITIES (300 = 310 + 330),RESOURCES > LIABILITIES (300 = 310 + 330),LIABILITIES (300 = 310 + 330),300,,"9,874,229,696,363","7,892,238,669,264",300.0,,,
Current liabilities,RESOURCES > Current liabilities,Current liabilities,310,,"9,213,862,412,096","7,258,020,535,153",310.0,,,
Accounts payable to suppliers,RESOURCES > Accounts payable to suppliers,Accounts payable to suppliers,311,18(a),"2,766,280,031,591","2,400,247,668,451",311.0,,,
Advances from customers,RESOURCES > Advances from customers,Advances from customers,312,,"36,931,211,976","63,252,571,190",312.0,,,
Taxes payable to State Treasury,RESOURCES > Taxes payable to State Treasury,Taxes payable to State Treasury,313,19(a),"1,621,018,056,957","1,416,974,562,127",313.0,,,
Payables to employees,RESOURCES > Payables to employees,Payables to employees,314,,"190,033,628,709","218,498,138,481",314.0,,,
Accrued expenses,RESOURCES > Accrued expenses,Accrued expenses,315,20,"514,267,263,343","370,691,834,530",315.0,20.0,,
Unearned revenue – short-term,RESOURCES > Unearned revenue – short-term,Unearned revenue – short-term,318,,"229,844,154","517,454,548",318.0,,,
Other payables – short-term,RESOURCES > Other payables – short-term,Other payables – short-term,319,21(a),"3,204,086,244,845","2,227,840,485,776",319.0,,,
Short-term borrowings and finance lease liabilities,RESOURCES > Short-term borrowings and finance lease liabilities,Short-term borrowings and finance lease liabilities,320,22(a),"658,625,815,321","321,746,371,972",320.0,,,
Bonus and welfare fund,RESOURCES > Bonus and welfare fund,Bonus and welfare fund,322,23,"222,390,315,200","238,251,448,078",322.0,23.0,,
Long-term liabilities,RESOURCES > Long-term liabilities,Long-term liabilities,330,,"660,367,284,267","634,218,134,111",330.0,,,
Long-term accounts payable to suppliers,RESOURCES > Long-term accounts payable to suppliers,Long-term accounts payable to suppliers,331,18(b),"120,060,956,800","123,520,604,800",331.0,,,
Other payables – long-term,RESOURCES > Other payables – long-term,Other payables – long-term,337,21(b),"55,421,713,745","54,810,064,986",337.0,,,
Long-term borrowings and finance lease liabilities,RESOURCES > Long-term borrowings and finance lease liabilities,Long-term borrowings and finance lease liabilities,338,22(b),"374,432,513,250","341,226,010,423",338.0,,,
Deferred tax liabilities,RESOURCES > Deferred tax liabilities,Deferred tax liabilities,341,17,"36,557,237,521","33,303,325,207",341.0,17.0,,
Provisions – long-term,RESOURCES > Provisions – long-term,Provisions – long-term,342,24,"73,894,862,951","81,358,128,695",342.0,24.0,,
