row_label_raw,row_label_full,col_0,Giá trị giao dịch,Giá trị giao dịch_1,numeric__Giá trị giao dịch,numeric__Giá trị giao dịch_1
,,,2022VND,2021VND,,
Công ty Cổ phần Bia Sài Gòn - Miền Trung,Công ty Cổ phần Bia Sài Gòn - Miền Trung,Công ty Cổ phần Bia Sài Gòn - Miền Trung,Công ty Cổ phần Bia Sài Gòn - Miền Trung,Công ty Cổ phần Bia Sài Gòn - Miền Trung,,
Bán nguyên vật liệu,Công ty Cổ phần Bia Sài Gòn - Miền Trung > Bán nguyên vật liệu,Bán nguyên vật liệu,476.504.344.503,379.890.505.349,476504344503.0,379890505349.0
Cung cấp dịch vụ,Công ty Cổ phần Bia Sài Gòn - Miền Trung > Cung cấp dịch vụ,Cung cấp dịch vụ,582.211.991,563.788.528,582211991.0,563788528.0
Bán công cụ và dụng cụ,Công ty Cổ phần Bia Sài Gòn - Miền Trung > Bán công cụ và dụng cụ,Bán công cụ và dụng cụ,177.125.000,88.482.000,177125000.0,88482000.0
Bán thành phẩm,Công ty Cổ phần Bia Sài Gòn - Miền Trung > Bán thành phẩm,Bán thành phẩm,233.380.000,318.100.000,233380000.0,318100000.0
Mua hàng hóa,Công ty Cổ phần Bia Sài Gòn - Miền Trung > Mua hàng hóa,Mua hàng hóa,1.417.094.941.070,1.278.755.571.382,1417094941070.0,1278755571382.0
Mua nguyên vật liệu,Công ty Cổ phần Bia Sài Gòn - Miền Trung > Mua nguyên vật liệu,Mua nguyên vật liệu,1.711.060.750,1.965.336.008,1711060750.0,1965336008.0
Chi phí thuê kho,Công ty Cổ phần Bia Sài Gòn - Miền Trung > Chi phí thuê kho,Chi phí thuê kho,918.607.770,873.059.168,918607770.0,873059168.0
Giao dịch khác,Công ty Cổ phần Bia Sài Gòn - Miền Trung > Giao dịch khác,Giao dịch khác,308.747.843,483.091.565,308747843.0,483091565.0
Cổ tức đã nhận,Công ty Cổ phần Bia Sài Gòn - Miền Trung > Cổ tức đã nhận,Cổ tức đã nhận,33.854.670.500,24.375.807.500,33854670500.0,24375807500.0
Chi phí quảng cáo và khuyến mãi,Công ty Cổ phần Bia Sài Gòn - Miền Trung > Chi phí quảng cáo và khuyến mãi,Chi phí quảng cáo và khuyến mãi,46.869.072,-,46869072.0,
Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,,
Bán nguyên vật liệu,Công ty Cổ phần Bia Sài Gòn - Vĩnh Long > Bán nguyên vật liệu,Bán nguyên vật liệu,419.398.830.067,261.415.069.467,419398830067.0,261415069467.0
