row_label_raw,row_label_full,col_0,Transaction value,Transaction value_1,numeric__Transaction value,numeric__Transaction value_1
,,,2022VND,2021VND,,
Saigon Tay Do Beer - Beverage Joint Stock Company,Saigon Tay Do Beer - Beverage Joint Stock Company,Saigon Tay Do Beer - Beverage Joint Stock Company,Saigon Tay Do Beer - Beverage Joint Stock Company,Saigon Tay Do Beer - Beverage Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"288,114,957,233","185,133,506,431",,
Sales of finished goods,Sales of finished goods,Sales of finished goods,"239,219,780","109,710,150",,
Sales of tools and supplies,Sales of tools and supplies,Sales of tools and supplies,"217,235,000","15,675,000",,
Provision of services,Provision of services,Provision of services,"68,800,000","511,856,064",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"784,675,703,760","555,853,075,362",,
Purchases of raw materials,Purchases of raw materials,Purchases of raw materials,"195,398,652","212,961,000",,
Purchases of packaging materials,Purchases of packaging materials,Purchases of packaging materials,"75,936,000",-,,
Dividends received,Dividends received,Dividends received,"10,474,960,500","6,983,307,000",,
Malaya - Vietnam Glass Limited,Malaya - Vietnam Glass Limited,Malaya - Vietnam Glass Limited,Malaya - Vietnam Glass Limited,Malaya - Vietnam Glass Limited,,
Sales of services,Sales of services,Sales of services,"50,000,000","238,000,000",,
Sales of scrap,Sales of scrap,Sales of scrap,"2,604,401,129","1,851,153,399",,
Purchases of packaging materials,Purchases of packaging materials,Purchases of packaging materials,"11,224,105,758","53,216,890,506",,
Me Linh Point Limited,Me Linh Point Limited,Me Linh Point Limited,Me Linh Point Limited,Me Linh Point Limited,,
Sales of finished goods,Sales of finished goods,Sales of finished goods,"52,173,330","23,583,500",,
Purchases of services,Purchases of services,Purchases of services,"6,366,069,000","7,935,167,159",,
Dividends received,Dividends received,Dividends received,"76,929,654,084","32,650,829,635",,
San Miguel Yamamura Phu Tho Packaging Company Limited,San Miguel Yamamura Phu Tho Packaging Company Limited,San Miguel Yamamura Phu Tho Packaging Company Limited,San Miguel Yamamura Phu Tho Packaging Company Limited,San Miguel Yamamura Phu Tho Packaging Company Limited,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"446,703,600","1,253,280,000",,
Purchases of packaging materials,Purchases of packaging materials,Purchases of packaging materials,"97,339,738,000","69,044,749,000",,
Other transactions,Other transactions,Other transactions,"14,940,000",-,,
Dividends received,Dividends received,Dividends received,"7,344,805,800",-,,
Advertising and promotion expenses,Advertising and promotion expenses,Advertising and promotion expenses,"314,133,644",-,,
Crown Beverage Cans Saigon Limited,Crown Beverage Cans Saigon Limited,Crown Beverage Cans Saigon Limited,Crown Beverage Cans Saigon Limited,Crown Beverage Cans Saigon Limited,,
Sales of raw materials and other goods,Sales of raw materials and other goods,Sales of raw materials and other goods,"67,951,518",-,,
Provision of services,Provision of services,Provision of services,"766,032,852","1,531,920,100",,
Purchases of packaging materials,Purchases of packaging materials,Purchases of packaging materials,"2,654,739,461,213","1,814,231,591,609",,
Other purchases,Other purchases,Other purchases,"9,249,359,585",-,,
Other transactions,Other transactions,Other transactions,"23,222,000",-,,
Dividends received,Dividends received,Dividends received,-,"136,091,200,930",,
Saigon - Bentre Beer Joint Stock Company,Saigon - Bentre Beer Joint Stock Company,Saigon - Bentre Beer Joint Stock Company,Saigon - Bentre Beer Joint Stock Company,Saigon - Bentre Beer Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"416,746,033,180","326,526,514,717",,
Sales of tools and supplies,Sales of tools and supplies,Sales of tools and supplies,"257,920,000","228,408,600",,
Provision of services,Provision of services,Provision of services,"34,000,000","251,625,528",,
Sales of finished goods,Sales of finished goods,Sales of finished goods,"239,286,000","63,620,000",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"1,169,420,458,490","944,920,801,547",,
Purchases of raw materials,Purchases of raw materials,Purchases of raw materials,"97,214,574","49,801,500",,
Dividends received,Dividends received,Dividends received,"3,000,000,000","1,000,000,000",,
