row_label_raw,row_label_full,col_0,Code,Note,31/12/2022 VND,1/1/2022 VND,numeric__Code,numeric__Note,numeric__31/12/2022 VND,numeric__1/1/2022 VND
EQUITY (400 = 410),EQUITY (400 = 410),EQUITY (400 = 410),400,,"24,590,845,919,393","22,594,785,703,161",400.0,,,
Owners' equity,Owners' equity,Owners' equity,410,25,"24,590,845,919,393","22,594,785,703,161",410.0,25.0,,
Share capital,Share capital,Share capital,411,26,"6,412,811,860,000","6,412,811,860,000",411.0,26.0,,
- Ordinary shares with voting rights,- Ordinary shares with voting rights,- Ordinary shares with voting rights,411a,,"6,412,811,860,000","6,412,811,860,000",,,,
Other capital,- Ordinary shares with voting rights > Other capital,Other capital,414,,"3,208,666,226","3,208,666,226",414.0,,,
Foreign exchange differences,- Ordinary shares with voting rights > Foreign exchange differences,Foreign exchange differences,417,,"37,136,373,047","27,339,292,861",417.0,,,
Investment and development fund,- Ordinary shares with voting rights > Investment and development fund,Investment and development fund,418,27,"1,122,241,373,127","1,122,241,373,127",418.0,27.0,,
Retained profits,- Ordinary shares with voting rights > Retained profits,Retained profits,421,,"15,564,895,669,872","13,655,871,142,263",421.0,,,
- Retained profits brought forward,- Retained profits brought forward,- Retained profits brought forward,421a,,"10,484,212,358,663","10,132,670,088,304",,,,
- Retained profit for the current year,- Retained profit for the current year,- Retained profit for the current year,421b,,"5,080,683,311,209","3,523,201,053,959",,,,
Non-controlling interest,- Retained profit for the current year > Non-controlling interest,Non-controlling interest,429,,"1,450,551,977,121","1,373,313,368,684",429.0,,,
TOTAL RESOURCES(440 = 300 + 400),- Retained profit for the current year > TOTAL RESOURCES(440 = 300 + 400),TOTAL RESOURCES(440 = 300 + 400),440,,"34,465,075,615,756","30,487,024,372,425",440.0,,,
