row_label_raw,row_label_full,col_0,Quyềnsử dụng đất (*)VND,Phần mềmmáy vi tínhVND,Tài sãnvô hình khácVND,TổngVND,numeric__Quyềnsử dụng đất (*)VND,numeric__Phần mềmmáy vi tínhVND,numeric__Tài sãnvô hình khácVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.024.181.907.580,78.687.003.401,104.000.000,1.102.972.910.981,1024181907580.0,78687003401.0,104000000.0,1102972910981.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,283.790.000,-,283.790.000,,283790000.0,,283790000.0
Chuyển từ xây dựngcơ bản dở dang,Nguyên giá > Chuyển từ xây dựngcơ bản dở dang,Chuyển từ xây dựngcơ bản dở dang,-,964.000.000,-,964.000.000,,964000000.0,,964000000.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(73.881.710),-,(73.881.710),,-73881710.0,,-73881710.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.024.181.907.580,79.860.911.691,104.000.000,1.104.146.819.271,1024181907580.0,79860911691.0,104000000.0,1104146819271.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,97.245.256.771,72.443.647.245,104.000.000,169.792.904.016,97245256771.0,72443647245.0,104000000.0,169792904016.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,6.673.851.624,4.015.232.809,-,10.689.084.433,6673851624.0,4015232809.0,,10689084433.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,(73.881.710),-,(73.881.710),,-73881710.0,,-73881710.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,103.919.108.395,76.384.998.344,104.000.000,180.408.106.739,103919108395.0,76384998344.0,104000000.0,180408106739.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,926.936.650.809,6.243.356.156,-,933.180.006.965,926936650809.0,6243356156.0,,933180006965.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,920.262.799.185,3.475.913.347,-,923.738.712.532,920262799185.0,3475913347.0,,923738712532.0
