row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tài sản khác VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tài sản khác VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.134.294.219.503,8.291.563.425.552,249.021.647.915,162.170.946.906,9.972.781.641,10.847.023.021.517,2134294219503.0,8291563425552.0,249021647915.0,162170946906.0,9972781641.0,10847023021517.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,549.186.704,10.687.610.832,1.595.000.000,10.806.588.073,-,23.638.385.609,549186704.0,10687610832.0,1595000000.0,10806588073.0,,23638385609.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,67.973.100.792,518.242.006.536,693.768.544,-,-,586.908.875.872,67973100792.0,518242006536.0,693768544.0,,,586908875872.0
Chuyển từ chi phí trả trước dài hạn,Nguyên giá > Chuyển từ chi phí trả trước dài hạn,Chuyển từ chi phí trả trước dài hạn,2.839.944.585,-,-,-,-,2.839.944.585,2839944585.0,,,,,2839944585.0
Phân loại lại sang bất động sản đầu tư,Nguyên giá > Phân loại lại sang bất động sản đầu tư,Phân loại lại sang bất động sản đầu tư,(3.642.135.452),-,-,-,-,(3.642.135.452),-3642135452.0,,,,,-3642135452.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(569.054.897),(3.303.676.179),(11.833.806.134),(980.995.998),-,(16.687.533.208),-569054897.0,-3303676179.0,-11833806134.0,-980995998.0,,-16687533208.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.201.445.261.235,8.817.189.366.741,239.476.610.325,171.996.538.981,9.972.781.641,11.440.080.558.923,2201445261235.0,8817189366741.0,239476610325.0,171996538981.0,9972781641.0,11440080558923.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.178.167.814.016,6.013.467.291.017,206.975.457.655,139.146.346.130,8.138.657.083,7.545.895.565.901,1178167814016.0,6013467291017.0,206975457655.0,139146346130.0,8138657083.0,7545895565901.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,95.027.348.011,422.886.920.010,12.755.992.125,11.377.662.281,515.456.981,542.563.379.408,95027348011.0,422886920010.0,12755992125.0,11377662281.0,515456981.0,542563379408.0
Phân loại lại sang bất động sản đầu tư,Giá trị hao mòn lũy kế > Phân loại lại sang bất động sản đầu tư,Phân loại lại sang bất động sản đầu tư,(776.819.559),-,-,-,-,(776.819.559),-776819559.0,,,,,-776819559.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(498.407.347),(3.269.990.583),(11.833.806.134),(980.995.998),-,(16.583.200.062),-498407347.0,-3269990583.0,-11833806134.0,-980995998.0,,-16583200062.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.271.919.935.121,6.433.084.220.444,207.897.643.646,149.543.012.413,8.654.114.064,8.071.098.925.688,1271919935121.0,6433084220444.0,207897643646.0,149543012413.0,8654114064.0,8071098925688.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,956.126.405.487,2.278.096.134.535,42.046.190.260,23.024.600.776,1.834.124.558,3.301.127.455.616,956126405487.0,2278096134535.0,42046190260.0,23024600776.0,1834124558.0,3301127455616.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,929.525.326.114,2.384.105.146.297,31.578.966.679,22.453.526.568,1.318.667.577,3.368.981.633.235,929525326114.0,2384105146297.0,31578966679.0,22453526568.0,1318667577.0,3368981633235.0
