row_label_raw,row_label_full,col_0,Code,Note,31/12/2022VND,1/1/2022VND,numeric__Code,numeric__Note,numeric__31/12/2022VND,numeric__1/1/2022VND
ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,,,,
Current assets(100 = 110 + 120 + 130 + 140 + 150),ASSETS > Current assets(100 = 110 + 120 + 130 + 140 + 150),Current assets(100 = 110 + 120 + 130 + 140 + 150),100,,"26,860,224,573,663","22,877,033,322,264",100.0,,,
Cash and cash equivalents,ASSETS > Cash and cash equivalents,Cash and cash equivalents,110,5,"4,069,464,160,642","3,606,454,403,209",110.0,5.0,,
Cash,ASSETS > Cash,Cash,111,,"985,364,551,928","685,368,712,799",111.0,,,
Cash equivalents,ASSETS > Cash equivalents,Cash equivalents,112,,"3,084,099,608,714","2,921,085,690,410",112.0,,,
Short-term financial investments,ASSETS > Short-term financial investments,Short-term financial investments,120,,"19,411,469,500,000","16,991,239,000,000",120.0,,,
Held-to-maturity investments,ASSETS > Held-to-maturity investments,Held-to-maturity investments,123,6(a),"19,411,469,500,000","16,991,239,000,000",123.0,,,
Accounts receivable – short-term,ASSETS > Accounts receivable – short-term,Accounts receivable – short-term,130,,"897,692,694,315","467,956,130,071",130.0,,,
Accounts receivable from customers,ASSETS > Accounts receivable from customers,Accounts receivable from customers,131,7,"337,852,269,601","100,965,921,832",131.0,7.0,,
Prepayments to suppliers,ASSETS > Prepayments to suppliers,Prepayments to suppliers,132,,"68,059,544,421","29,859,261,503",132.0,,,
Other short-term receivables,ASSETS > Other short-term receivables,Other short-term receivables,136,8(a),"787,397,107,956","679,386,330,628",136.0,,,
Allowance for doubtful short-term debts,ASSETS > Allowance for doubtful short-term debts,Allowance for doubtful short-term debts,137,9(a),"(295,616,227,663)","(342,255,383,892)",137.0,,,
Inventories,ASSETS > Inventories,Inventories,140,10(a),"2,193,521,139,336","1,668,001,734,209",140.0,,,
Inventories,ASSETS > Inventories,Inventories,141,,"2,272,494,533,814","1,755,711,816,417",141.0,,,
Allowance for inventories,ASSETS > Allowance for inventories,Allowance for inventories,149,,"(78,973,394,478)","(87,710,082,208)",149.0,,,
Other current assets,ASSETS > Other current assets,Other current assets,150,,"288,077,079,370","143,382,054,775",150.0,,,
Short-term prepaid expenses,ASSETS > Short-term prepaid expenses,Short-term prepaid expenses,151,11(a),"181,976,694,088","88,941,911,437",151.0,,,
Deductible value added tax,ASSETS > Deductible value added tax,Deductible value added tax,152,,"83,098,195,190","25,339,672,708",152.0,,,
Taxes receivable from State Treasury,ASSETS > Taxes receivable from State Treasury,Taxes receivable from State Treasury,153,19(b),"23,002,190,092","29,100,470,630",153.0,,,
