row_label_raw,row_label_full,col_0,1/1/2022VND,Net-offVND,Reclassified from taxes payableVND,31/12/2022VND,numeric__1/1/2022VND,numeric__Net-offVND,numeric__Reclassified from taxes payableVND,numeric__31/12/2022VND
Corporate income tax,Corporate income tax,Corporate income tax,"2,966,919,094","(2,057,493,444)","786,879,794","1,696,305,444",,,,
Personal income tax,Personal income tax,Personal income tax,"869,789,150","(869,789,150)","640,448,151","640,448,151",,,,
Import-export tax,Import-export tax,Import-export tax,"2,082,000",-,-,"2,082,000",,,,
Other taxes,Other taxes,Other taxes,"25,261,680,386","(4,598,325,889)",-,"20,663,354,497",,,,
,,,"29,100,470,630","(7,525,608,483)","1,427,327,945","23,002,190,092",,,,
