row_label_raw,row_label_full,Tên công ty,31/12/2022 > Hạch toán theo vốn chủ sở hữu VND,31/12/2022 > Giá trị hợp lý VND,31/12/2022 > Dự phòng VND,1/1/2022 > Hạch toán theo vốn chủ sở hữu VND,1/1/2022 > Giá trị hợp lý VND,1/1/2022 > Dự phòng VND,numeric__31/12/2022 > Hạch toán theo vốn chủ sở hữu VND,numeric__31/12/2022 > Giá trị hợp lý VND,numeric__31/12/2022 > Dự phòng VND,numeric__1/1/2022 > Hạch toán theo vốn chủ sở hữu VND,numeric__1/1/2022 > Giá trị hợp lý VND,numeric__1/1/2022 > Dự phòng VND
Công ty Cổ phần Kinh doanh Lương thực - Thực phẩm Trường Sa,Công ty Cổ phần Kinh doanh Lương thực - Thực phẩm Trường Sa,Công ty Cổ phần Kinh doanh Lương thực - Thực phẩm Trường Sa,4.877.957.385,(*),(4.877.957.381),4.877.957.381,(*),(4.877.957.381),4877957385.0,,-4877957381.0,4877957381.0,,-4877957381.0
Công ty Cổ phần Tư vấn Đầu tư - Thiết kế và Chuyển giao Công nghệ Thành Nam,Công ty Cổ phần Tư vấn Đầu tư - Thiết kế và Chuyển giao Công nghệ Thành Nam,Công ty Cổ phần Tư vấn Đầu tư - Thiết kế và Chuyển giao Công nghệ Thành Nam,329.653.546,(*),-,329.653.546,(*),-,329653546.0,,,329653546.0,,
Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,68.198.352.285,71.094.240.000,-,75.220.306.437,78.288.300.000,-,68198352285.0,71094240000.0,,75220306437.0,78288300000.0,
Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,6.863.792.917,(*),-,6.863.792.917,(*),-,6863792917.0,,,6863792917.0,,
Công ty Cổ phần Bia - Nước Giải Khát Sài Gòn - Tây Đô,Công ty Cổ phần Bia - Nước Giải Khát Sài Gòn - Tây Đô,Công ty Cổ phần Bia - Nước Giải Khát Sài Gòn - Tây Đô,97.657.207.690,(*),-,102.909.001.175,(*),-,97657207690.0,,,102909001175.0,,
Công ty TNHH Trung Tâm Mê Linh,Công ty TNHH Trung Tâm Mê Linh,Công ty TNHH Trung Tâm Mê Linh,115.508.698.730,(*),-,148.317.898.412,(*),-,115508698730.0,,,148317898412.0,,
Công ty Liên doanh TNHH Crown Sài Gòn,Công ty Liên doanh TNHH Crown Sài Gòn,Công ty Liên doanh TNHH Crown Sài Gòn,583.115.732.032,(*),-,399.664.328.265,(*),-,583115732032.0,,,399664328265.0,,
Công ty TNHH Thủy tinh Malaya Việt Nam,Công ty TNHH Thủy tinh Malaya Việt Nam,Công ty TNHH Thủy tinh Malaya Việt Nam,337.365.757.373,(*),-,298.120.109.369,(*),-,337365757373.0,,,298120109369.0,,
Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ,Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ,Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ,60.017.545.712,(*),-,62.864.180.949,(*),-,60017545712.0,,,62864180949.0,,
Công ty TNHH Sản xuất Rượu và Cồn Việt Nam,Công ty TNHH Sản xuất Rượu và Cồn Việt Nam,Công ty TNHH Sản xuất Rượu và Cồn Việt Nam,37.827.987.750,(*),-,29.620.590.750,(*),-,37827987750.0,,,29620590750.0,,
Công ty Cổ phần Tập đoàn Bia Sài Gòn Bình Tây,Công ty Cổ phần Tập đoàn Bia Sài Gòn Bình Tây,Công ty Cổ phần Tập đoàn Bia Sài Gòn Bình Tây,445.504.575.352,(*),-,454.830.093.909,(*),-,445504575352.0,,,454830093909.0,,
Công ty Cổ phần Bia Sài Gòn - Miền Trung,Công ty Cổ phần Bia Sài Gòn - Miền Trung,Công ty Cổ phần Bia Sài Gòn - Miền Trung,196.057.912.124,429.954.315.350,-,179.682.165.759,413.026.980.100,-,196057912124.0,429954315350.0,,179682165759.0,413026980100.0,
Công ty TNHH Đầu tư Thương mại Tân Thành,Công ty TNHH Đầu tư Thương mại Tân Thành,Công ty TNHH Đầu tư Thương mại Tân Thành,70.829.555.721,(*),(70.829.555.721),70.829.555.721,(*),(70.829.555.721),70829555721.0,,-70829555721.0,70829555721.0,,-70829555721.0
Công ty Cổ phần Bia Sài Gòn - Bạc Liêu,Công ty Cổ phần Bia Sài Gòn - Bạc Liêu,Công ty Cổ phần Bia Sài Gòn - Bạc Liêu,39.038.793.663,23.575.552.000,-,37.721.306.901,25.956.365.217,-,39038793663.0,23575552000.0,,37721306901.0,25956365217.0,
Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,50.022.757.187,(*),-,53.210.068.735,(*),-,50022757187.0,,,53210068735.0,,
Công ty Cổ phần Bia Sài Gòn - Kiên Giang,Công ty Cổ phần Bia Sài Gòn - Kiên Giang,Công ty Cổ phần Bia Sài Gòn - Kiên Giang,288.988.004,(*),-,11.524.000.597,(*),-,288988004.0,,,11524000597.0,,
Công ty Cổ phần Bia Sài Gòn - Khánh Hòa,Công ty Cổ phần Bia Sài Gòn - Khánh Hòa,Công ty Cổ phần Bia Sài Gòn - Khánh Hòa,47.826.134.802,(*),-,47.835.118.934,(*),-,47826134802.0,,,47835118934.0,,
Công ty Cổ phần Bia Sài Gòn - Bến Tre,Công ty Cổ phần Bia Sài Gòn - Bến Tre,Công ty Cổ phần Bia Sài Gòn - Bến Tre,26.498.553.192,(*),-,25.651.475.862,(*),-,26498553192.0,,,25651475862.0,,
,,,2.187.829.955.465,,(75.707.513.102),2.010.071.605.619,,(75.707.513.102),2187829955465.0,,-75707513102.0,2010071605619.0,,-75707513102.0
