row_label_raw,row_label_full,col_0,Buildings and structures VND,Machinery and equipment VND,Motor vehicles VND,Office equipment VND,Others VND,Total VND,numeric__Buildings and structures VND,numeric__Machinery and equipment VND,numeric__Motor vehicles VND,numeric__Office equipment VND,numeric__Others VND,numeric__Total VND
Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,,,,,,
Opening balance,Opening balance,Opening balance,"2,134,294,219,503","8,291,563,425,552","249,021,647,915","162,170,946,906","9,972,781,641","10,847,023,021,517",,,,,,
Additions,Additions,Additions,"549,186,704","10,687,610,832","1,595,000,000","10,806,588,073",-,"23,638,385,609",,,,,,
Transfer from construction in progress,Transfer from construction in progress,Transfer from construction in progress,"67,973,100,792","518,242,006,536","693,768,544",-,-,"586,908,875,872",,,,,,
Transfer from long-term prepaid expenses,Transfer from long-term prepaid expenses,Transfer from long-term prepaid expenses,"2,839,944,585",-,-,-,-,"2,839,944,585",,,,,,
Reclassify to investment properties,Reclassify to investment properties,Reclassify to investment properties,"(3,642,135,452)",-,-,-,-,"(3,642,135,452)",,,,,,
Disposals,Disposals,Disposals,"(569,054,897)","(3,303,676,179)","(11,833,806,134)","(980,995,998)",-,"(16,687,533,208)",,,,,,
Closing balance,Closing balance,Closing balance,"2,201,445,261,235","8,817,189,366,741","239,476,610,325","171,996,538,981","9,972,781,641","11,440,080,558,923",,,,,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,,,,,
Opening balance,Opening balance,Opening balance,"1,178,167,814,016","6,013,467,291,017","206,975,457,655","139,146,346,130","8,138,657,083","7,545,895,565,901",,,,,,
Charge for the year,Charge for the year,Charge for the year,"95,027,348,011","422,886,920,010","12,755,992,125","11,377,662,281","515,456,981","542,563,379,408",,,,,,
Reclassify to investment properties,Reclassify to investment properties,Reclassify to investment properties,"(776,819,559)",-,-,-,-,"(776,819,559)",,,,,,
Disposals,Disposals,Disposals,"(498,407,347)","(3,269,990,583)","(11,833,806,134)","(980,995,998)",-,"(16,583,200,062)",,,,,,
Closing balance,Closing balance,Closing balance,"1,271,919,935,121","6,433,084,220,444","207,897,643,646","149,543,012,413","8,654,114,064","8,071,098,925,688",,,,,,
Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,,,,,,
Opening balance,Opening balance,Opening balance,"956,126,405,487","2,278,096,134,535","42,046,190,260","23,024,600,776","1,834,124,558","3,301,127,455,616",,,,,,
Closing balance,Closing balance,Closing balance,"929,525,326,114","2,384,105,146,297","31,578,966,679","22,453,526,568","1,318,667,577","3,368,981,633,235",,,,,,
