row_label_raw,row_label_full,col_0,Share capital VND,Other capital VND,Foreign exchange differences VND,Investment and development fund VND,Retained profits VND,Total equity attributable to owners of the Company VND,Non-controlling interest VND,Total VND,numeric__Share capital VND,numeric__Other capital VND,numeric__Foreign exchange differences VND,numeric__Investment and development fund VND,numeric__Retained profits VND,numeric__Total equity attributable to owners of the Company VND,numeric__Non-controlling interest VND,numeric__Total VND
Balance as at 1 January 2022,Balance as at 1 January 2022,Balance as at 1 January 2022,"6,412,811,860,000","3,208,666,226","27,339,292,861","1,122,241,373,127","13,655,871,142,263","21,221,472,334,477","1,373,313,368,684","22,594,785,703,161",,,,,,,,
Net profit for the year,Net profit for the year,Net profit for the year,-,-,-,-,"5,223,851,427,095","5,223,851,427,095","275,946,550,189","5,499,797,977,284",,,,,,,,
Appropriation to bonus and welfare fund (Note 23),Appropriation to bonus and welfare fund (Note 23),Appropriation to bonus and welfare fund (Note 23),-,-,-,-,"(104,662,591,910)","(104,662,591,910)","(16,685,300,984)","(121,347,892,894)",,,,,,,,
Adjustments to bonus and welfare fund (Note 23),Adjustments to bonus and welfare fund (Note 23),Adjustments to bonus and welfare fund (Note 23),-,-,-,-,"34,660,971,609","34,660,971,609","6,049,665,524","40,710,637,133",,,,,,,,
Dividends (Note 28),Dividends (Note 28),Dividends (Note 28),-,-,-,-,"(3,206,405,930,000)","(3,206,405,930,000)","(187,069,103,338)","(3,393,475,033,338)",,,,,,,,
Foreign exchange differences,Foreign exchange differences,Foreign exchange differences,-,-,"9,797,080,186",-,-,"9,797,080,186",-,"9,797,080,186",,,,,,,,
Appropriation to social activities fund,Appropriation to social activities fund,Appropriation to social activities fund,-,-,-,-,"(38,505,523,976)","(38,505,523,976)","(1,062,271,314)","(39,567,795,290)",,,,,,,,
Adjustments to social activities fund,Adjustments to social activities fund,Adjustments to social activities fund,-,-,-,-,"86,174,791","86,174,791","59,068,360","145,243,151",,,,,,,,
Balance as at 31 December 2022,Balance as at 31 December 2022,Balance as at 31 December 2022,"6,412,811,860,000","3,208,666,226","37,136,373,047","1,122,241,373,127","15,564,895,669,872","23,140,293,942,272","1,450,551,977,121","24,590,845,919,393",,,,,,,,
