row_label_raw,row_label_full,col_0,1/1/2022Carrying amount/Amount within repayment capacity VND,Movements during the year > Increase VND,Movements during the year > Decrease VND,31/12/2022Carrying amount/Amount within repayment capacity VND,numeric__1/1/2022Carrying amount/Amount within repayment capacity VND,numeric__Movements during the year > Increase VND,numeric__Movements during the year > Decrease VND,numeric__31/12/2022Carrying amount/Amount within repayment capacity VND
Short-term borrowings,Short-term borrowings,Short-term borrowings,"313,076,838,774","3,145,041,058,122","(2,823,135,222,244)","634,982,674,652",,,,
Current portion of long-term borrowings (Note 22(b)),Current portion of long-term borrowings (Note 22(b)),Current portion of long-term borrowings (Note 22(b)),"7,597,790,000","22,474,940,583","(7,597,790,000)","22,474,940,583",,,,
Current portion of long-term finance lease liabilities (Note 22(b)),Current portion of long-term finance lease liabilities (Note 22(b)),Current portion of long-term finance lease liabilities (Note 22(b)),"1,071,743,198","16,197,987,708","(16,101,530,820)","1,168,200,086",,,,
,,,"321,746,371,972","3,183,713,986,413","(2,846,834,543,064)","658,625,815,321",,,,
