row_label_raw,row_label_full,Vietnam Joint Stock Commercial Bank for Industry and Trade – Quang Ngai Branch,Currency > VND,"31/12/2022 VND > 199,800,000,000","1/1/2022 VND > 194,291,999,211",numeric__Currency > VND,"numeric__31/12/2022 VND > 199,800,000,000","numeric__1/1/2022 VND > 194,291,999,211"
Bangkok Bank Public Company Limited – Ho Chi Minh Branch,Bangkok Bank Public Company Limited – Ho Chi Minh Branch,Bangkok Bank Public Company Limited – Ho Chi Minh Branch,VND,"155,749,287,000",-,,,
Joint Stock Commercial Bank for Foreign Trade of Vietnam – Quang Ngai Branch,Joint Stock Commercial Bank for Foreign Trade of Vietnam – Quang Ngai Branch,Joint Stock Commercial Bank for Foreign Trade of Vietnam – Quang Ngai Branch,VND,"119,961,278,869",-,,,
Joint Stock Commercial Bank for Foreign Trade of Vietnam – Thanh Xuan Branch,Joint Stock Commercial Bank for Foreign Trade of Vietnam – Thanh Xuan Branch,Joint Stock Commercial Bank for Foreign Trade of Vietnam – Thanh Xuan Branch,VND,"58,257,450,063",-,,,
Shinhan Bank Vietnam Ltd – Pham Hung Branch,Shinhan Bank Vietnam Ltd – Pham Hung Branch,Shinhan Bank Vietnam Ltd – Pham Hung Branch,VND,"49,734,282,814",-,,,
Standard Chartered Bank (Vietnam) Limited – Ho Chi Minh City Branch,Standard Chartered Bank (Vietnam) Limited – Ho Chi Minh City Branch,Standard Chartered Bank (Vietnam) Limited – Ho Chi Minh City Branch,VND,"19,980,375,906",-,,,
Vietnam Joint Stock Commercial Bank for Industry and Trade – Quang Minh Branch,Vietnam Joint Stock Commercial Bank for Industry and Trade – Quang Minh Branch,Vietnam Joint Stock Commercial Bank for Industry and Trade – Quang Minh Branch,VND,"18,000,000,000","11,000,000,000",,,
Shinhan Bank Vietnam Ltd – Ha Noi Branch,Shinhan Bank Vietnam Ltd – Ha Noi Branch,Shinhan Bank Vietnam Ltd – Ha Noi Branch,VND,"13,500,000,000","8,262,603,408",,,
Vietnam Export Import Commercial Joint Stock Bank – Quang Ngai Branch,Vietnam Export Import Commercial Joint Stock Bank – Quang Ngai Branch,Vietnam Export Import Commercial Joint Stock Bank – Quang Ngai Branch,VND,-,"99,522,236,155",,,
,,,,"634,982,674,652","313,076,838,774",,,
