row_label_raw,row_label_full,col_0,Code,Note,2022 VND,2021 VND,numeric__Code,numeric__Note,numeric__2022 VND,numeric__2021 VND
Revenue from sales of goods and provision of services,Revenue from sales of goods and provision of services,Revenue from sales of goods and provision of services,01,30,"35,235,899,123,781","26,578,007,393,513",1.0,30.0,,
Revenue deductions,Revenue deductions,Revenue deductions,02,30,"256,815,129,946","204,261,099,655",2.0,30.0,,
Net revenue (10 = 01 - 02),Net revenue (10 = 01 - 02),Net revenue (10 = 01 - 02),10,30,"34,979,083,993,835","26,373,746,293,858",10.0,30.0,,
Cost of goods sold and services provided,Cost of goods sold and services provided,Cost of goods sold and services provided,11,31,"24,208,377,066,751","18,765,181,482,365",11.0,31.0,,
Gross profit (20 = 10 - 11),Gross profit (20 = 10 - 11),Gross profit (20 = 10 - 11),20,,"10,770,706,927,084","7,608,564,811,493",20.0,,,
Financial income,Financial income,Financial income,21,32,"1,090,560,762,647","1,119,597,121,857",21.0,32.0,,
Financial expenses,Financial expenses,Financial expenses,22,33,"81,993,117,030","22,784,167,607",22.0,33.0,,
In which: Interest expense,In which: Interest expense,In which: Interest expense,23,,"45,517,297,000","48,739,800,374",23.0,,,
Share of profits in associates and jointly controlled entities,Share of profits in associates and jointly controlled entities,Share of profits in associates and jointly controlled entities,24,6(c),"323,119,361,276","172,939,963,562",24.0,,,
Selling expenses,Selling expenses,Selling expenses,25,34,"4,532,068,273,139","3,500,368,629,369",25.0,34.0,,
General and administration expenses,General and administration expenses,General and administration expenses,26,35,"740,665,660,468","597,716,255,412",26.0,35.0,,
Net operating profit{30 = 20 + (21 - 22) + 24 - (25 + 26)},Net operating profit{30 = 20 + (21 - 22) + 24 - (25 + 26)},Net operating profit{30 = 20 + (21 - 22) + 24 - (25 + 26)},30,,"6,829,660,000,370","4,780,232,844,524",30.0,,,
Other income,Other income,Other income,31,,"20,990,166,318","95,929,356,826",31.0,,,
Other expenses,Other expenses,Other expenses,32,,"37,232,847,726","19,267,951,607",32.0,,,
Results of other activities (40 = 31 - 32),Results of other activities (40 = 31 - 32),Results of other activities (40 = 31 - 32),40,,"(16,242,681,408)","76,661,405,219",40.0,,,
Accounting profit before tax(50 = 30 + 40),Accounting profit before tax(50 = 30 + 40),Accounting profit before tax(50 = 30 + 40),50,,"6,813,417,318,962","4,856,894,249,743",50.0,,,
Income tax expense – current,Income tax expense – current,Income tax expense – current,51,37,"1,323,982,218,726","954,964,248,596",51.0,37.0,,
Income tax benefit – deferred,Income tax benefit – deferred,Income tax benefit – deferred,52,37,"(10,362,877,048)","(27,375,546,091)",52.0,37.0,,
Net profit after tax (60 = 50 - 51 - 52)(carried forward to next page),Net profit after tax (60 = 50 - 51 - 52)(carried forward to next page),Net profit after tax (60 = 50 - 51 - 52)(carried forward to next page),60,,"5,499,797,977,284","3,929,305,547,238",60.0,,,
