row_label_raw,row_label_full,col_0,Code,Note,2022VND,2021VND,numeric__Code,numeric__Note,numeric__2022VND,numeric__2021VND
Net profit after tax (60 = 50 - 51 - 52)(brought forward from previous page),Net profit after tax (60 = 50 - 51 - 52)(brought forward from previous page),Net profit after tax (60 = 50 - 51 - 52)(brought forward from previous page),60,,"5,499,797,977,284","3,929,305,547,238",60.0,,,
Attributable to:,Attributable to:,Attributable to:,Attributable to:,Attributable to:,Attributable to:,Attributable to:,,,,
Equity holders of the Company,Attributable to: > Equity holders of the Company,Equity holders of the Company,61,,"5,223,851,427,095","3,677,252,341,304",61.0,,,
Non-controlling interest,Attributable to: > Non-controlling interest,Non-controlling interest,62,,"275,946,550,189","252,053,205,934",62.0,,,
Earnings per share,Earnings per share,Earnings per share,,,,(Restated),,,,
Basic earnings per share,Earnings per share > Basic earnings per share,Basic earnings per share,70,38,"7,983","5,556",70.0,38.0,7.983,5.556
