row_label_raw,row_label_full,STT,Công ty liên kết,Nơi thành lập,31/12/2015,31/12/2015_1,31/12/2014,31/12/2014_1,Hoạt động chính,numeric__Công ty liên kết,numeric__Nơi thành lập,numeric__31/12/2015,numeric__31/12/2015_1,numeric__31/12/2014,numeric__31/12/2014_1,numeric__Hoạt động chính
STT,STT,STT,Công ty liên kết,Nơi thành lập,Tỷ lệ sở hữu (%),Tỷ lệ biểu quyết (%),Tỷ lệ sở hữu (%),Tỷ lệ biểu quyết (%),Hoạt động chính,,,,,,,
1,STT > 1,1,Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Bắc Ninh,"21,00%","21,00%","21,00%","21,00%","Xây dựng công trình đường sắt, đường bộ",,,0.21,0.21,0.21,0.21,
2,STT > 2,2,Công ty Cổ phần Chứng khoán Đại Dương,Hà Nội,"37,5%","37,5%","37,5%","37,5%",Kinh doanh chứng khoán,,,0.375,0.375,0.375,0.375,
3,STT > 3,3,Ngân hàng Thương mai TNHH MTV Đại Dương,Hà Nội,0%,0%,"20,00%","20,00%",Ngân hàng,,,0.0,0.0,0.2,0.2,
4,STT > 4,4,Công ty Cổ phần Du lịch Dầu khí Phương Đông,Nghệ An,0%,0%,"49,5%","49,5%","Kinh doanh du lịch, khách sạn, nhà hàng",,,0.0,0.0,0.495,0.495,
