row_label_raw,row_label_full,Tên chỉ tiêu,Mã số,31/12/2014,numeric__Mã số,numeric__31/12/2014
A. TÀI SẢN,A. TÀI SẢN,A. TÀI SẢN,A. TÀI SẢN,A. TÀI SẢN,,
I. Tài sản ngắn hạn,I. Tài sản ngắn hạn,I. Tài sản ngắn hạn,,,,
1. Đầu tư ngắn hạn,I. Tài sản ngắn hạn > 1. Đầu tư ngắn hạn,1. Đầu tư ngắn hạn,121,2.015.229.037.654,121.0,2015229037654.0
2. Dự phòng giám giá đầu tư ngắn hạn,I. Tài sản ngắn hạn > 2. Dự phòng giám giá đầu tư ngắn hạn,2. Dự phòng giám giá đầu tư ngắn hạn,129,(309.444.939.438),129.0,-309444939438.0
3. Không có chỉ tiêu tương ứng,3. Không có chỉ tiêu tương ứng,3. Không có chỉ tiêu tương ứng,,,,
4. Phải thu khách hàng,3. Không có chỉ tiêu tương ứng > 4. Phải thu khách hàng,4. Phải thu khách hàng,131,234.762.603.205,131.0,234762603205.0
5. Trả trước cho người bán,3. Không có chỉ tiêu tương ứng > 5. Trả trước cho người bán,5. Trả trước cho người bán,132,656.286.034.629,132.0,656286034629.0
6. Không có chỉ tiêu tương ứng,6. Không có chỉ tiêu tương ứng,6. Không có chỉ tiêu tương ứng,,,,
7. Các khoản phải thu khác,6. Không có chỉ tiêu tương ứng > 7. Các khoản phải thu khác,7. Các khoản phải thu khác,135,1.556.155.567.731,135.0,1556155567731.0
8. Dự phòng phải thu ngắn hạn khó đòi,6. Không có chỉ tiêu tương ứng > 8. Dự phòng phải thu ngắn hạn khó đòi,8. Dự phòng phải thu ngắn hạn khó đòi,139,(1.190.009.621.460),139.0,-1190009621460.0
9. Không có chỉ tiêu tương ứng,9. Không có chỉ tiêu tương ứng,9. Không có chỉ tiêu tương ứng,,,,
10. Hàng tồn kho,9. Không có chỉ tiêu tương ứng > 10. Hàng tồn kho,10. Hàng tồn kho,141,265.945.944.362,141.0,265945944362.0
11. Chí phí trả trước ngắn hạn,9. Không có chỉ tiêu tương ứng > 11. Chí phí trả trước ngắn hạn,11. Chí phí trả trước ngắn hạn,151,3.455.850.251,151.0,3455850251.0
12. Thuế giá trị gia tăng được khấu trừ,9. Không có chỉ tiêu tương ứng > 12. Thuế giá trị gia tăng được khấu trừ,12. Thuế giá trị gia tăng được khấu trừ,152,13.772.979.918,152.0,13772979918.0
13. Thuế và các khoản khác phải thu Nhà nước,9. Không có chỉ tiêu tương ứng > 13. Thuế và các khoản khác phải thu Nhà nước,13. Thuế và các khoản khác phải thu Nhà nước,154,8.087.428.445,154.0,8087428445.0
14. Tài sản ngắn hạn khác,9. Không có chỉ tiêu tương ứng > 14. Tài sản ngắn hạn khác,14. Tài sản ngắn hạn khác,158,410.184.340.017,158.0,410184340017.0
