row_label_raw,row_label_full,CHÍ TIÊU,Mã số,2015,2014(Trình bày lại),numeric__Mã số,numeric__2015,numeric__2014(Trình bày lại)
Giảm hàng tồn kho,2. Điều chỉnh cho các khoản: > Giảm hàng tồn kho,Giảm hàng tồn kho,10,50.668.289.020,138.087.635.659,10.0,50668289020.0,138087635659.0
"(Giảm) các khoản phải trả (Không kể lãi vay phải trả,thuế thu nhập doanh nghiệp phải nộp)","2. Điều chỉnh cho các khoản: > (Giảm) các khoản phải trả (Không kể lãi vay phải trả,thuế thu nhập doanh nghiệp phải nộp)","(Giảm) các khoản phải trả (Không kể lãi vay phải trả,thuế thu nhập doanh nghiệp phải nộp)",11,(2.535.229.252.090),(1.017.415.116.012),11.0,-2535229252090.0,-1017415116012.0
Giảm/(Tăng) chi phí trả trước,2. Điều chỉnh cho các khoản: > Giảm/(Tăng) chi phí trả trước,Giảm/(Tăng) chi phí trả trước,12,6.237.349.829,(16.244.367.956),12.0,6237349829.0,-16244367956.0
Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản: > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(178.376.674.234),(353.858.900.043),14.0,-178376674234.0,-353858900043.0
Thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản: > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(67.520.708.045),(91.350.686.844),15.0,-67520708045.0,-91350686844.0
Tiền thu khác từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,-,855.420.660.144,16.0,,855420660144.0
Tiền chi khác cho hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(166.699.479.616),(240.481.761.374),17.0,-166699479616.0,-240481761374.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,(2.169.632.991.091),(1.545.682.917.904),20.0,-2169632991091.0,-1545682917904.0
II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
"1. Tiền chỉ mua sắm, xây dựng TSCĐ và cáctài sản dài hạn khác","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 1. Tiền chỉ mua sắm, xây dựng TSCĐ và cáctài sản dài hạn khác","1. Tiền chỉ mua sắm, xây dựng TSCĐ và cáctài sản dài hạn khác",21,(30.735.071.231),(224.091.988.049),21.0,-30735071231.0,-224091988049.0
"2. Tiền thu thanh lý, nhượng bán TSCĐ và các tài sảndài hạn khác","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 2. Tiền thu thanh lý, nhượng bán TSCĐ và các tài sảndài hạn khác","2. Tiền thu thanh lý, nhượng bán TSCĐ và các tài sảndài hạn khác",22,14.459.305.017,-,22.0,14459305017.0,
"3. Tiền chỉ cho vay, mua công cụ nợ của đơn vị khác","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 3. Tiền chỉ cho vay, mua công cụ nợ của đơn vị khác","3. Tiền chỉ cho vay, mua công cụ nợ của đơn vị khác",23,35.771.300.000,(2.175.622.886.839),23.0,35771300000.0,-2175622886839.0
"4. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 4. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác",24,-,1.019.012.573.151,24.0,,1019012573151.0
5. Tiền chỉ đầu tư góp vốn vào các đơn vị khác,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 5. Tiền chỉ đầu tư góp vốn vào các đơn vị khác,5. Tiền chỉ đầu tư góp vốn vào các đơn vị khác,25,(23.428.000.000),(871.845.516.944),25.0,-23428000000.0,-871845516944.0
6. Tiền thu hồi đầu tư vốn vào đơn vị khác,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 6. Tiền thu hồi đầu tư vốn vào đơn vị khác,6. Tiền thu hồi đầu tư vốn vào đơn vị khác,26,2.223.837.713.771,4.065.697.394.492,26.0,2223837713771.0,4065697394492.0
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,3.101.229.591,1.164.577.748.159,27.0,3101229591.0,1164577748159.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,2.223.006.477.148,2.977.727.323.970,30.0,2223006477148.0,2977727323970.0
