row_label_raw,row_label_full,col_0,31/12/2015,31/12/2014(Trình bày lại),numeric__31/12/2015,numeric__31/12/2014(Trình bày lại)
,,,VND,VND,,
Khách sạn Starcity Nha Trang (i),Khách sạn Starcity Nha Trang (i),Khách sạn Starcity Nha Trang (i),245.241.998.798,183.637.634.730,245241998798.0,183637634730.0
Starcity Westlake Hanoi (ii),Starcity Westlake Hanoi (ii),Starcity Westlake Hanoi (ii),171.184.160.168,171.133.866.913,171184160168.0,171133866913.0
"Dự án Trung tâm Thương mại, Văn phòng và Khách sạn tại Hạ Long (iii)","Dự án Trung tâm Thương mại, Văn phòng và Khách sạn tại Hạ Long (iii)","Dự án Trung tâm Thương mại, Văn phòng và Khách sạn tại Hạ Long (iii)",45.557.400.919,36.638.660.427,45557400919.0,36638660427.0
"Dự án ""Hạ Đình"" (iii)","Dự án ""Hạ Đình"" (iii)","Dự án ""Hạ Đình"" (iii)",9.385.970.381,9.378.492.376,9385970381.0,9378492376.0
Trồng rừng tại Lạng Sơn,Trồng rừng tại Lạng Sơn,Trồng rừng tại Lạng Sơn,6.400.216.451,5.856.793.913,6400216451.0,5856793913.0
Dự án Siêu thị Ocean (iii),Dự án Siêu thị Ocean (iii),Dự án Siêu thị Ocean (iii),5.986.763.772,17.265.715.232,5986763772.0,17265715232.0
Dự án Licogi 19 (iii),Dự án Licogi 19 (iii),Dự án Licogi 19 (iii),5.160.552.294,3.193.417.160,5160552294.0,3193417160.0
Dự án Tòa nhà Trung Yên,Dự án Tòa nhà Trung Yên,Dự án Tòa nhà Trung Yên,-,7.491.730.432,,7491730432.0
Dự án Khu đô thị Đông Nam Trần Duy Hung,Dự án Khu đô thị Đông Nam Trần Duy Hung,Dự án Khu đô thị Đông Nam Trần Duy Hung,-,47.432.773.963,,47432773963.0
Khách sạn Sunrise Hội An,Khách sạn Sunrise Hội An,Khách sạn Sunrise Hội An,-,17.647.397.793,,17647397793.0
Các công trình khác,Các công trình khác,Các công trình khác,12.734.256.110,3.831.590.199,12734256110.0,3831590199.0
,,,501.651.318.893,503.508.073.138,501651318893.0,503508073138.0
