row_label_raw,row_label_full,Tên chỉ tiêuB. NGUỒN VỐN,Mã số,31/12/2014,numeric__Mã số,numeric__31/12/2014
I. Ng phải trả,I. Ng phải trả,I. Ng phải trả,,,,
1. Phải trả người bán,I. Ng phải trả > 1. Phải trả người bán,1. Phải trả người bán,312,139.273.892.456,312.0,139273892456.0
2. Người mua trả tiền trước,I. Ng phải trả > 2. Người mua trả tiền trước,2. Người mua trả tiền trước,313,259.596.612.323,313.0,259596612323.0
3. Thuế và các khoản phải nộp Nhà nước,I. Ng phải trả > 3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,314,150.190.910.524,314.0,150190910524.0
4. Phải trả người lao động,I. Ng phải trả > 4. Phải trả người lao động,4. Phải trả người lao động,315,17.277.763.330,315.0,17277763330.0
5. Chỉ phí phải trả,I. Ng phải trả > 5. Chỉ phí phải trả,5. Chỉ phí phải trả,316,196.835.802.699,316.0,196835802699.0
6. Không có chỉ tiêu tương ứng,6. Không có chỉ tiêu tương ứng,6. Không có chỉ tiêu tương ứng,,,,
"7. Các khoản phải trả, phải nộp ngắn hạn khác","6. Không có chỉ tiêu tương ứng > 7. Các khoản phải trả, phải nộp ngắn hạn khác","7. Các khoản phải trả, phải nộp ngắn hạn khác",319,1.722.253.317.154,319.0,1722253317154.0
8. Vay và nợ ngắn hạn,6. Không có chỉ tiêu tương ứng > 8. Vay và nợ ngắn hạn,8. Vay và nợ ngắn hạn,311,1.004.607.035.099,311.0,1004607035099.0
9. Doanh thu chưa thực hiện,6. Không có chỉ tiêu tương ứng > 9. Doanh thu chưa thực hiện,9. Doanh thu chưa thực hiện,338,474.626.249.540,338.0,474626249540.0
10. Phải trả dài hạn khác,6. Không có chỉ tiêu tương ứng > 10. Phải trả dài hạn khác,10. Phải trả dài hạn khác,333,2.660.405.672.699,333.0,2660405672699.0
11. Vay và nợ dài hạn,6. Không có chỉ tiêu tương ứng > 11. Vay và nợ dài hạn,11. Vay và nợ dài hạn,334,629.654.914.932,334.0,629654914932.0
12. Thuế thu nhập hoãn lại phải trả,6. Không có chỉ tiêu tương ứng > 12. Thuế thu nhập hoãn lại phải trả,12. Thuế thu nhập hoãn lại phải trả,335,27.473.270.735,335.0,27473270735.0
