row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2015,31/12/2014(Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015,numeric__31/12/2014(Trình bày lại)
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,3.054.494.447.121,3.910.252.108.773,100.0,,3054494447121.0,3910252108773.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5,239.450.141.907,238.779.912.156,110.0,5.0,239450141907.0,238779912156.0
1. Tiền,1. Tiền,1. Tiền,111,,140.352.259.964,222.628.248.119,111.0,,140352259964.0,222628248119.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,99.097.881.943,16.151.664.037,112.0,,99097881943.0,16151664037.0
II. Các khoản đầu tư tài chính ngắn hạn,II. Các khoản đầu tư tài chính ngắn hạn,II. Các khoản đầu tư tài chính ngắn hạn,120,,117.171.913.956,154.684.723.956,120.0,,117171913956.0,154684723956.0
1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,121,6,146.517.527.759,146.517.527.759,121.0,6.0,146517527759.0,146517527759.0
2. Dự phòng giảm giả chứng khoán kinh doanh,2. Dự phòng giảm giả chứng khoán kinh doanh,2. Dự phòng giảm giả chứng khoán kinh doanh,122,6,(33.786.169.359),(32.273.359.359),122.0,6.0,-33786169359.0,-32273359359.0
3. Đầu tư nằm giữ đến ngày đáo hạn,3. Đầu tư nằm giữ đến ngày đáo hạn,3. Đầu tư nằm giữ đến ngày đáo hạn,123,6,4.440.555.556,40.440.555.556,123.0,6.0,4440555556.0,40440555556.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,2.421.124.809.228,3.186.183.793.535,130.0,,2421124809228.0,3186183793535.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,7,213.399.550.922,263.306.548.465,131.0,7.0,213399550922.0,263306548465.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,8,546.255.455.479,588.912.708.157,132.0,8.0,546255455479.0,588912708157.0
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,9,1.524.393.804.339,1.557.483.704.339,135.0,9.0,1524393804339.0,1557483704339.0
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,10,2.492.032.192.565,2.239.064.144.589,136.0,10.0,2492032192565.0,2239064144589.0
5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,137,11,(2.359.051.309.555),(1.466.091.560.268),137.0,11.0,-2359051309555.0,-1466091560268.0
6. Tài sản thiếu chờ xử lý,6. Tài sản thiếu chờ xử lý,6. Tài sản thiếu chờ xử lý,139,12,4.095.115.478,3.508.248.253,139.0,12.0,4095115478.0,3508248253.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,,247.583.476.531,294.431.578.956,140.0,,247583476531.0,294431578956.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,13,247.583.476.531,294.431.578.956,141.0,13.0,247583476531.0,294431578956.0
V. Tài sơn ngắn hạn khác,V. Tài sơn ngắn hạn khác,V. Tài sơn ngắn hạn khác,150,,29.164.105.499,36.172.100.170,150.0,,29164105499.0,36172100170.0
1. Chỉ phí trả trước ngắn hạn,1. Chỉ phí trả trước ngắn hạn,1. Chỉ phí trả trước ngắn hạn,151,,4.296.545.597,7.437.185.543,151.0,,4296545597.0,7437185543.0
2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,152,,15.545.761.607,14.987.788.766,152.0,,15545761607.0,14987788766.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,,9.321.798.295,13.747.125.861,153.0,,9321798295.0,13747125861.0
