row_label_raw,row_label_full,CHÍ TIÊU,Mã số,Thuyết minh,2015,2014(Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__2015,numeric__2014(Trình bày lại)
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,31,930.416.319.516,2.770.497.683.589,1.0,31.0,930416319516.0,2770497683589.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,31,703.611.322,35.205.373.596,2.0,31.0,703611322.0,35205373596.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,929.712.708.194,2.735.292.309.993,10.0,,929712708194.0,2735292309993.0
4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,11,32,517.482.032.681,2.282.294.836.107,11.0,32.0,517482032681.0,2282294836107.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,412.230.675.513,452.997.473.886,20.0,,412230675513.0,452997473886.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,34,1.821.394.583.489,1.121.280.373.074,21.0,34.0,1821394583489.0,1121280373074.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,35,182.743.018.133,1.624.181.721.068,22.0,35.0,182743018133.0,1624181721068.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,163.189.828.290,261.707.975.835,23.0,,163189828290.0,261707975835.0
"8. Phản lỗ trong Công ty liên doanh, liên kết","8. Phản lỗ trong Công ty liên doanh, liên kết","8. Phản lỗ trong Công ty liên doanh, liên kết",24,20,(18.208.705.539),(11.558.929.263),24.0,20.0,-18208705539.0,-11558929263.0
9. Chi phí bán hàng,9. Chi phí bán hàng,9. Chi phí bán hàng,25,36,116.734.662.836,378.111.686.197,25.0,36.0,116734662836.0,378111686197.0
