row_label_raw,row_label_full,col_0,2015(Số năm),numeric__2015(Số năm)
"Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc",50,50.0
Máy móc thiết bị,Máy móc thiết bị,Máy móc thiết bị,10,10.0
