row_label_raw,row_label_full,1. Lợi nhuận/(Lỗ) trước thuế,01,(2.519.957.901.977),numeric__01,numeric__(2.519.957.901.977)
2. (Tăng)/giảm các khoản phải thu,2. (Tăng)/giảm các khoản phải thu,2. (Tăng)/giảm các khoản phải thu,09,1.108.591.248.483,9.0,1108591248483.0
3. (Tăng)/giảm chỉ phí trả trước,3. (Tăng)/giảm chỉ phí trả trước,3. (Tăng)/giảm chỉ phí trả trước,12,(99.845.936.592),12.0,-99845936592.0
