row_label_raw,row_label_full,col_0,31/12/2015 > Giá gốcVND,31/12/2015 > Giá trị sau dự phòngVND,31/12/2014 > Giá gốcVND,31/12/2014 > Giá trị sau dự phòngVND,numeric__31/12/2015 > Giá gốcVND,numeric__31/12/2015 > Giá trị sau dự phòngVND,numeric__31/12/2014 > Giá gốcVND,numeric__31/12/2014 > Giá trị sau dự phòngVND
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,,,,
"Phải thu, cho vay có khả năng thu hồi","a. Ngắn hạn > Phải thu, cho vay có khả năng thu hồi","Phải thu, cho vay có khả năng thu hồi",1.327.227.775.921,1.327.227.775.921,2.920.315.496.931,2.920.315.496.931,1327227775921.0,1327227775921.0,2920315496931.0,2920315496931.0
"Phải thu, cho vay khó có khả năng thu hồi","a. Ngắn hạn > Phải thu, cho vay khó có khả năng thu hồi","Phải thu, cho vay khó có khả năng thu hồi",3.415.876.325.431,1.056.825.015.876,1.737.344.457.898,271.252.897.630,3415876325431.0,1056825015876.0,1737344457898.0,271252897630.0
- Số dư công nợ trích lập 30%,a. Ngắn hạn > - Số dư công nợ trích lập 30%,- Số dư công nợ trích lập 30%,107.549.933.990,75.284.953.793,34.777.906.511,24.344.534.558,107549933990.0,75284953793.0,34777906511.0,24344534558.0
- Số dư công nợ trích lập 50%,a. Ngắn hạn > - Số dư công nợ trích lập 50%,- Số dư công nợ trích lập 50%,501.855.750.769,250.927.875.384,34.926.288.487,17.463.144.244,501855750769.0,250927875384.0,34926288487.0,17463144244.0
- Số dư công nợ trích lập 70%,a. Ngắn hạn > - Số dư công nợ trích lập 70%,- Số dư công nợ trích lập 70%,18.666.295.602,5.599.888.681,27.832.963.601,8.349.889.080,18666295602.0,5599888681.0,27832963601.0,8349889080.0
- Số dư công nợ trích lập 100%,a. Ngắn hạn > - Số dư công nợ trích lập 100%,- Số dư công nợ trích lập 100%,992.715.091.655,-,1.407.640.609.879,-,992715091655.0,,1407640609879.0,
- Số dư công nợ trích lập tỷ lệ khác,a. Ngắn hạn > - Số dư công nợ trích lập tỷ lệ khác,- Số dư công nợ trích lập tỷ lệ khác,1.795.089.253.415,725.012.298.018,232.166.689.420,221.095.329.748,1795089253415.0,725012298018.0,232166689420.0,221095329748.0
,,,4.743.104.101.352,2.384.052.791.797,4.657.659.954.829,3.191.568.394.561,4743104101352.0,2384052791797.0,4657659954829.0,3191568394561.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,,,,
"Phải thu, cho vay có khả năng thu hồi","b. Dài hạn > Phải thu, cho vay có khả năng thu hồi","Phải thu, cho vay có khả năng thu hồi",778.369.472.385,778.369.472.385,1.948.881.420.307,1.948.881.420.307,778369472385.0,778369472385.0,1948881420307.0,1948881420307.0
"Phải thu, cho vay khó có khả năng thu hồi","b. Dài hạn > Phải thu, cho vay khó có khả năng thu hồi","Phải thu, cho vay khó có khả năng thu hồi",1.005.679.166.668,436.679.166.668,500.000.000.000,-,1005679166668.0,436679166668.0,500000000000.0,
- Số dư công nợ trích lập 100%,b. Dài hạn > - Số dư công nợ trích lập 100%,- Số dư công nợ trích lập 100%,500.000.000.000,-,500.000.000.000,-,500000000000.0,,500000000000.0,
- Số dư công nợ trích lập tỷ lệ khác,b. Dài hạn > - Số dư công nợ trích lập tỷ lệ khác,- Số dư công nợ trích lập tỷ lệ khác,450.000.000.000,397.703.750.000,-,-,450000000000.0,397703750000.0,,
,,,1.784.048.639.053,1.215.048.639.053,2.448.881.420.307,1.948.881.420.307,1784048639053.0,1215048639053.0,2448881420307.0,1948881420307.0
