row_label_raw,row_label_full,col_0,2015,2014(Trình bày lại),numeric__2015,numeric__2014(Trình bày lại)
,,,VND,VND,,
Tổng doanh thu bán hàng và cung cấp dịch vụ,Tổng doanh thu bán hàng và cung cấp dịch vụ,Tổng doanh thu bán hàng và cung cấp dịch vụ,Tổng doanh thu bán hàng và cung cấp dịch vụ,Tổng doanh thu bán hàng và cung cấp dịch vụ,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán hàng,Trong đó: > Doanh thu bán hàng,Doanh thu bán hàng,417.233.540.889,1.414.491.036.833,417233540889.0,1414491036833.0
Doanh thu cung cấp dịch vụ,Trong đó: > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,89.795.276.286,60.510.714.195,89795276286.0,60510714195.0
Doanh thu chuyên nhượng bất động sản (i),Trong đó: > Doanh thu chuyên nhượng bất động sản (i),Doanh thu chuyên nhượng bất động sản (i),128.972.549.932,715.405.156.915,128972549932.0,715405156915.0
Doanh thu hợp đồng xây dựng,Trong đó: > Doanh thu hợp đồng xây dựng,Doanh thu hợp đồng xây dựng,936.735.455,12.428.613.448,936735455.0,12428613448.0
Doanh thu kinh doanh khách sạn,Trong đó: > Doanh thu kinh doanh khách sạn,Doanh thu kinh doanh khách sạn,267.554.970.811,367.076.919.848,267554970811.0,367076919848.0
Doanh thu hoạt động chứng khoán,Trong đó: > Doanh thu hoạt động chứng khoán,Doanh thu hoạt động chứng khoán,-,155.325.937.005,,155325937005.0
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,25.923.246.143,45.259.305.345,25923246143.0,45259305345.0
,,,930.416.319.516,2.770.497.683.589,930416319516.0,2770497683589.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,,
a. Chiết khấu thương mại,Các khoản giảm trừ doanh thu > a. Chiết khấu thương mại,a. Chiết khấu thương mại,402.670.996,-,402670996.0,
b. Giảm giá hàng bán,Các khoản giảm trừ doanh thu > b. Giảm giá hàng bán,b. Giảm giá hàng bán,200.870.553,-,200870553.0,
c. Hàng bán bị trả lại,Các khoản giảm trừ doanh thu > c. Hàng bán bị trả lại,c. Hàng bán bị trả lại,100.069.773,35.205.373.596,100069773.0,35205373596.0
,,,703.611.322,35.205.373.596,703611322.0,35205373596.0
Trong đó,Trong đó,Trong đó,Trong đó,Trong đó,,
Doanh thu phát sinh trong năm với các bên liên quan(Giao dịch chủ yếu với các bên liên quan được trình bày tại Thuyết minh số 43),Trong đó > Doanh thu phát sinh trong năm với các bên liên quan(Giao dịch chủ yếu với các bên liên quan được trình bày tại Thuyết minh số 43),Doanh thu phát sinh trong năm với các bên liên quan(Giao dịch chủ yếu với các bên liên quan được trình bày tại Thuyết minh số 43),33.044.532,3.238.188.106,33044532.0,3238188106.0
