row_label_raw,row_label_full,col_0,Bất động sảnvà đầu tư(Trình bày lại)VND,Chứng khoánVND,Khách sạnVND,"Kinh doanh,thương mạiVND",Hoạt động khácVND,Bù trírhợp nhấtVND,Tổng cộng(Trình bày lại)VND,numeric__Bất động sảnvà đầu tư(Trình bày lại)VND,numeric__Chứng khoánVND,numeric__Khách sạnVND,"numeric__Kinh doanh,thương mạiVND",numeric__Hoạt động khácVND,numeric__Bù trírhợp nhấtVND,numeric__Tổng cộng(Trình bày lại)VND
Tổng tài sản tại ngày 31/12/2014,Tổng tài sản tại ngày 31/12/2014,Tổng tài sản tại ngày 31/12/2014,7.426.790.481.348,-,1.274.640.760.178,369.075.116.954,4.171.761.402.348,(4.324.389.973.441),8.917.877.787.387,7426790481348.0,,1274640760178.0,369075116954.0,4171761402348.0,-4324389973441.0,8917877787387.0
Tổng nợ phải trả tại ngày 31/12/2014,Tổng nợ phải trả tại ngày 31/12/2014,Tổng nợ phải trả tại ngày 31/12/2014,6.952.777.250.050,-,1.389.277.980.609,77.728.793.529,1.644.381.960.256,(2.451.194.922.216),7.612.971.062.228,6952777250050.0,,1389277980609.0,77728793529.0,1644381960256.0,-2451194922216.0,7612971062228.0
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,,
Doanh thu thuần bán hàng và cung cấpdịch vụ ra bên ngoài,Doanh thu > Doanh thu thuần bán hàng và cung cấpdịch vụ ra bên ngoài,Doanh thu thuần bán hàng và cung cấpdịch vụ ra bên ngoài,692.389.012.963,155.325.937.005,367.076.919.848,1.475.241.134.832,45.259.305.345,-,2.735.292.309.993,692389012963.0,155325937005.0,367076919848.0,1475241134832.0,45259305345.0,,2735292309993.0
Doanh thu nội bộ Tập đoàn,Doanh thu > Doanh thu nội bộ Tập đoàn,Doanh thu nội bộ Tập đoàn,-,-,-,54.183.836.090,7.034.516.657,(61.218.352.747),-,,,,54183836090.0,7034516657.0,-61218352747.0,
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,692.389.012.963,155.325.937.005,367.076.919.848,1.529.424.970.922,52.293.822.002,(61.218.352.747),2.735.292.309.993,692389012963.0,155325937005.0,367076919848.0,1529424970922.0,52293822002.0,-61218352747.0,2735292309993.0
Giá vốn hàng bán và cung cấp dịch vụ,Doanh thu > Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,684.071.656.544,96.312.950.121,193.981.135.726,1.313.799.128.648,18.513.769.364,(24.383.804.296),2.282.294.836.107,684071656544.0,96312950121.0,193981135726.0,1313799128648.0,18513769364.0,-24383804296.0,2282294836107.0
Lợi nhuận góp từ hoạt động kinh doanh,Doanh thu > Lợi nhuận góp từ hoạt động kinh doanh,Lợi nhuận góp từ hoạt động kinh doanh,8.317.356.419,59.012.986.884,173.095.784.122,215.625.842.274,33.780.052.638,(36.834.548.451),452.997.473.886,8317356419.0,59012986884.0,173095784122.0,215625842274.0,33780052638.0,-36834548451.0,452997473886.0
Lợi nhuận(lỗ) khác,Doanh thu > Lợi nhuận(lỗ) khác,Lợi nhuận(lỗ) khác,(331.504.500.235),-,-,591.862.208,(19.062.668.219),-,(349.975.306.246),-331504500235.0,,,591862208.0,-19062668219.0,,-349975306246.0
Chi phí phân bổ,Doanh thu > Chi phí phân bổ,Chi phí phân bổ,689.651.832.803,122.929.967.492,290.352.070.694,1.152.057.238.132,98.987.857.782,(48.422.754.261),2.305.556.212.643,689651832803.0,122929967492.0,290352070694.0,1152057238132.0,98987857782.0,-48422754261.0,2305556212643.0
Kết quả kinh doanh bộ phận,Doanh thu > Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,(1.012.838.976.619),(63.916.980.608),(117.256.286.572),(935.839.533.651),(84.270.473.362),11.588.205.810,(2.202.534.045.003),-1012838976619.0,-63916980608.0,-117256286572.0,-935839533651.0,-84270473362.0,11588205810.0,-2202534045003.0
Doanh thu hoạt động tài chính,Doanh thu > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,1.121.280.373.074,,,,,,,1121280373074.0
Chi phí tài chính,Doanh thu > Chi phí tài chính,Chi phí tài chính,,,,,,,1.624.181.721.068,,,,,,,1624181721068.0
Lợi nhuận trong công ty liên kết,Doanh thu > Lợi nhuận trong công ty liên kết,Lợi nhuận trong công ty liên kết,,,,,,,(11.558.929.263),,,,,,,-11558929263.0
(Lỗ) trước thuế,Doanh thu > (Lỗ) trước thuế,(Lỗ) trước thuế,,,,,,,(2.716.994.322.260),,,,,,,-2716994322260.0
Chi phí thuế TNDN hiện hành,Doanh thu > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,,,,19.309.559.474,,,,,,,19309559474.0
Chi phí thuế thu nhập hoãn lại,Doanh thu > Chi phí thuế thu nhập hoãn lại,Chi phí thuế thu nhập hoãn lại,,,,,,,8.647.430.847,,,,,,,8647430847.0
(Lỗ) trong năm,Doanh thu > (Lỗ) trong năm,(Lỗ) trong năm,,,,,,,(2.744.951.312.581),,,,,,,-2744951312581.0
